taxid,phylum,family,genus_species,gram_status,occupancy
1121097,Bacteroidota,Bacteroidaceae,Bacteroides graminisolvens,Gram negative,28.0
1470558,Pseudomonadota,Burkholderiaceae,Cupriavidus sp. SK-3,Gram negative,33.0
1495854,Pseudomonadota,Caulobacteraceae,Brevundimonas sp. EAKA,Gram negative,34.0
1487711,Actinomycetota,Streptomycetaceae,Streptomyces sp. NTK 937,Gram positive,23.0
1071679,Pseudomonadota,Burkholderiaceae,Caballeronia grimmiae,Gram negative,33.0
60547,Pseudomonadota,Burkholderiaceae,Caballeronia glathei,Gram negative,33.0
287,Pseudomonadota,Pseudomonadaceae,Pseudomonas aeruginosa,Gram negative,33.0
1122985,Bacteroidota,Prevotellaceae,Hoylesella loescheii,Gram negative,28.0
1339341,Bacteroidota,Tannerellaceae,Parabacteroides distasonis,Gram negative,27.0
1339352,Bacteroidota,Bacteroidaceae,Phocaeicola vulgatus,Gram negative,28.0
997829,Bacteroidota,Porphyromonadaceae,Porphyromonas sp. KLE 1280,Gram negative,27.0
1224318,Pseudomonadota,Enterobacteriaceae,Mangrovibacter sp. MFB070,Gram negative,33.0
95486,Pseudomonadota,Burkholderiaceae,Burkholderia cenocepacia,Gram negative,33.0
1293911,Pseudomonadota,Bartonellaceae,Bartonella bacilliformis,Gram negative,34.0
1300350,Pseudomonadota,Roseobacteraceae,Sulfitobacter donghicola,Gram negative,29.0
1353537,Pseudomonadota,Paracoccaceae,Thioclava pacifica,Gram negative,29.0
1353532,Pseudomonadota,Thalassospiraceae,Thalassospira permensis,Gram negative,33.0
1048983,Bacteroidota,Cytophagaceae,Anditalea andensis,Gram negative,28.0
1385367,Pseudomonadota,Neisseriaceae,Snodgrassella alvi,Gram negative,33.0
1217721,Pseudomonadota,Rhodanobacteraceae,Dyella japonica,Gram negative,33.0
1214179,Bacillota,Streptococcaceae,Streptococcus suis,Gram positive,28.0
1244531,Campylobacterota,Campylobacteraceae,Campylobacter iguaniorum,Gram negative,32.0
1280380,Cyanobacteriota,Synechococcaceae,Synechococcus sp. KORDI-100,Gram negative,15.0
585423,Cyanobacteriota,Synechococcaceae,Synechococcus sp. KORDI-49,Gram negative,15.0
585425,Cyanobacteriota,Synechococcaceae,Synechococcus sp. KORDI-52,Gram negative,15.0
357276,Bacteroidota,Bacteroidaceae,Phocaeicola dorei,Gram negative,28.0
667120,Pseudomonadota,Hafniaceae,Edwardsiella anguillarum,Gram negative,33.0
156978,Actinomycetota,Corynebacteriaceae,Corynebacterium imitans,Gram positive,17.0
1392005,Pseudomonadota,Comamonadaceae,Comamonas testosteroni,Gram negative,33.0
237609,Pseudomonadota,Pseudomonadaceae,Pseudomonas alkylphenolica,Gram negative,33.0
401472,Actinomycetota,Corynebacteriaceae,Corynebacterium ureicelerivorans,Gram positive,17.0
1352,Bacillota,Enterococcaceae,Enterococcus faecium,Gram positive,13.0
1028989,Pseudomonadota,Pseudomonadaceae,Pseudomonas sp. StFLB209,Gram negative,33.0
1398201,Pseudomonadota,Morganellaceae,Xenorhabdus bovienii,Gram negative,33.0
1398200,Pseudomonadota,Morganellaceae,Xenorhabdus bovienii,Gram negative,33.0
1398202,Pseudomonadota,Morganellaceae,Xenorhabdus bovienii,Gram negative,33.0
1398203,Pseudomonadota,Morganellaceae,Xenorhabdus bovienii,Gram negative,33.0
1398204,Pseudomonadota,Morganellaceae,Xenorhabdus bovienii,Gram negative,33.0
1379677,Pseudomonadota,Morganellaceae,Xenorhabdus bovienii,Gram negative,33.0
403776,Bacteroidota,Sphingobacteriaceae,Sphingobacterium sp. PM2-P1-29,Gram negative,27.0
554131,Pseudomonadota,Fam_of_Thiomonas,Thiomonas sp. CB2,Gram negative,33.0
545,Pseudomonadota,Enterobacteriaceae,Citrobacter koseri,Gram negative,33.0
1461583,Bacillota,Planococcaceae,Metalysinibacillus saudimassiliensis,Gram positive,14.0
1291743,Bacillota,Lactobacillaceae,Secundilactobacillus oryzae,Gram positive,13.0
1368415,Pseudomonadota,Rhizobiaceae,Agrobacterium rubi,Gram negative,33.0
1324269,Actinomycetota,Mycobacteriaceae,Mycobacterium sp. TKK-01-0059,Gram positive,21.0
1303,Bacillota,Streptococcaceae,Streptococcus oralis,Gram positive,28.0
1393735,Pseudomonadota,Morganellaceae,Photorhabdus temperata,Gram negative,33.0
210,Campylobacterota,Helicobacteraceae,Helicobacter pylori,Gram negative,33.0
1410619,Pseudomonadota,Yersiniaceae,Serratia sp. DD3,Gram negative,33.0
1506588,Pseudomonadota,Burkholderiaceae,Burkholderia sp. MSh2,Gram negative,33.0
1517681,Pseudomonadota,Vibrionaceae,Vibrio sp. ER1A,Gram negative,33.0
1197477,Bacteroidota,Flavobacteriaceae,Mangrovimonas yunxiaonensis,Gram negative,28.0
472175,Pseudomonadota,Phyllobacteriaceae,Nitratireductor basaltis,Gram negative,33.0
1005994,Pseudomonadota,Enterobacteriaceae,Trabulsiella guamensis,Gram negative,33.0
1502852,Pseudomonadota,Oxalobacteraceae,Massilia sp. LC238,Gram negative,33.0
1502851,Pseudomonadota,Boseaceae,Bosea sp. LC85,Gram negative,33.0
910964,Pseudomonadota,Yersiniaceae,Ewingella americana,Gram negative,33.0
1006004,Pseudomonadota,Enterobacteriaceae,Buttiauxella agrestis,Gram negative,33.0
421531,Bacteroidota,Weeksellaceae,Chryseobacterium luteum,Gram negative,9.0
445961,Bacteroidota,Weeksellaceae,Chryseobacterium soli,Gram negative,9.0
1233950,Bacteroidota,Weeksellaceae,Chryseobacterium sp. JM1,Gram negative,9.0
1549810,Pseudomonadota,Methylobacteriaceae,Microvirga sp. BSC39,Gram negative,33.0
1549812,Pseudomonadota,Oxalobacteraceae,Massilia sp. BSC265,Gram negative,33.0
1526762,Pseudomonadota,Vibrionaceae,Vibrio sp. B183,Gram negative,34.0
633150,Pseudomonadota,Pseudomonadaceae,Pseudomonas sp. 1-7,Gram negative,33.0
244366,Pseudomonadota,Enterobacteriaceae,Klebsiella variicola,Gram negative,33.0
1525753,Actinomycetota,Streptomycetaceae,Streptomyces sp. JS01,Gram positive,23.0
1524467,Pseudomonadota,Yersiniaceae,Serratia sp. Ag1,Gram negative,33.0
1537915,Campylobacterota,Sulfurospirillaceae,Sulfurospirillum sp. SCADC,Gram negative,32.0
1522072,Pseudomonadota,Sphingomonadaceae,Sphingobium sp. ba1,Gram negative,33.0
1487956,Actinomycetota,Corynebacteriaceae,Corynebacterium sp. ATCC 6931,Gram positive,17.0
693986,Pseudomonadota,Methylobacteriaceae,Methylobacterium oryzae,Gram negative,33.0
1501268,Cyanobacteriota,Prochlorococcaceae,Prochlorococcus sp. MIT 0604,Gram negative,15.0
1501269,Cyanobacteriota,Prochlorococcaceae,Prochlorococcus sp. MIT 0801,Gram negative,15.0
40754,Pseudomonadota,Thiotrichaceae,Thioploca ingrica,Gram negative,33.0
1437425,Chlamydiota,Criblamydiaceae,Criblamydia sequanensis,Gram negative,14.0
69974,Pseudomonadota,Phyllobacteriaceae,Mesorhizobium plurifarium,Gram negative,33.0
408180,Pseudomonadota,Phyllobacteriaceae,Mesorhizobium sp. ORS 3324,Gram negative,33.0
408184,Pseudomonadota,Phyllobacteriaceae,Mesorhizobium sp. ORS 3359,Gram negative,33.0
1505946,Pseudomonadota,Phyllobacteriaceae,Mesorhizobium sp. SOD10,Gram negative,33.0
80852,Pseudomonadota,Vibrionaceae,Aliivibrio wodanis,Gram negative,33.0
35841,Bacillota,Bacillaceae,Caldibacillus thermoamylovorans,Gram positive,18.0
1401327,Pseudomonadota,Enterobacteriaceae,Shigella dysenteriae,Gram negative,33.0
990268,Pseudomonadota,Vibrionaceae,Vibrio maritimus,Gram negative,33.0
1115515,Pseudomonadota,Enterobacteriaceae,Pseudescherichia vulneris,Gram negative,33.0
1517416,Pseudomonadota,Idiomarinaceae,Pseudidiomarina atlantica,Gram negative,30.0
1535751,Bacillota,Bacillaceae,Anoxybacillus sp. KU2-6(11),Gram positive,19.0
104102,Pseudomonadota,Acetobacteraceae,Acetobacter tropicalis,Gram negative,33.0
28450,Pseudomonadota,Burkholderiaceae,Burkholderia pseudomallei,Gram negative,33.0
1453498,Bacteroidota,Flavobacteriaceae,Flavobacterium aquatile,Gram negative,28.0
1532558,Pseudomonadota,Rhizobiaceae,Rhizobium sp. YS-1r,Gram negative,33.0
1265313,Pseudomonadota,Halieaceae,Pseudohaliea rubra,Gram negative,33.0
1532557,Pseudomonadota,Alcaligenaceae,Achromobacter sp. RTa,Gram negative,33.0
1401065,Pseudomonadota,Alcaligenaceae,Oligella urethralis,Gram negative,33.0
1287475,Actinomycetota,Corynebacteriaceae,Corynebacterium freneyi,Gram positive,17.0
1401075,Bacteroidota,Prevotellaceae,Prevotella disiens,Gram negative,28.0
1401073,Bacteroidota,Prevotellaceae,Prevotella melaninogenica,Gram negative,28.0
1401068,Bacteroidota,Prevotellaceae,Prevotella bivia,Gram negative,28.0
1401066,Bacteroidota,Prevotellaceae,Prevotella amnii,Gram negative,28.0
558173,Actinomycetota,Corynebacteriaceae,Corynebacterium doosanense,Gram positive,17.0
1453496,Pseudomonadota,Hafniaceae,Hafnia alvei,Gram negative,33.0
1562970,Bacteroidota,Dysgonomonadaceae,Fermentimonas caenicola,Gram negative,28.0
1212491,Pseudomonadota,Legionellaceae,Legionella fallonii,Gram negative,33.0
325777,Pseudomonadota,Lysobacteraceae,Xanthomonas axonopodis,Gram negative,33.0
1547437,Pseudomonadota,Rhizobiaceae,Hoeflea sp. BAL378,Gram negative,33.0
1535422,Pseudomonadota,Colwelliaceae,Thalassotalea sp. ND16A,Gram negative,30.0
29495,Pseudomonadota,Vibrionaceae,Vibrio navarrensis,Gram negative,33.0
1225651,Pseudomonadota,Roseobacteraceae,Thalassobacter sp. 16PALIMAR09,Gram negative,29.0
1250005,Bacteroidota,Flavobacteriaceae,Polaribacter sp. Hel1_85,Gram negative,28.0
1538295,Pseudomonadota,Fam_of_Aquabacterium,Aquabacterium sp. NJ1,Gram negative,33.0
1122185,Pseudomonadota,Lysobacteraceae,Lysobacter concretionis,Gram negative,33.0
1385517,Pseudomonadota,Lysobacteraceae,Lysobacter daejeonensis,Gram negative,33.0
1288298,Pseudomonadota,Roseobacteraceae,Roseovarius mucosus,Gram negative,29.0
1385515,Pseudomonadota,Lysobacteraceae,Lysobacter defluvii,Gram negative,33.0
1291742,Bacillota,Lactobacillaceae,Paucilactobacillus hokkaidonensis,Gram positive,13.0
984195,Pseudomonadota,Pseudomonadaceae,Pseudomonas sp. SHC52,Gram negative,33.0
1219049,Pseudomonadota,Sphingomonadaceae,Sphingomonas parapaucimobilis,Gram negative,33.0
1395571,Pseudomonadota,Pseudomonadaceae,Pseudomonas taeanensis,Gram negative,33.0
1324332,Pseudomonadota,Pseudomonadaceae,Pseudomonas fluorescens,Gram negative,33.0
59925,Cyanobacteriota,Prochlorococcaceae,Prochlorococcus marinus,Gram negative,15.0
167544,Cyanobacteriota,Prochlorococcaceae,Prochlorococcus marinus,Gram negative,15.0
93057,Cyanobacteriota,Prochlorococcaceae,Prochlorococcus marinus,Gram negative,15.0
74545,Cyanobacteriota,Prochlorococcaceae,Prochlorococcus marinus,Gram negative,15.0
167548,Cyanobacteriota,Prochlorococcaceae,Prochlorococcus marinus,Gram negative,15.0
167551,Cyanobacteriota,Prochlorococcaceae,Prochlorococcus marinus,Gram negative,15.0
59926,Cyanobacteriota,Prochlorococcaceae,Prochlorococcus marinus,Gram negative,15.0
1499498,Cyanobacteriota,Prochlorococcaceae,Prochlorococcus sp. MIT 0601,Gram negative,15.0
1499499,Cyanobacteriota,Prochlorococcaceae,Prochlorococcus sp. MIT 0602,Gram negative,15.0
59924,Cyanobacteriota,Prochlorococcaceae,Prochlorococcus marinus,Gram negative,15.0
99807,Actinomycetota,Corynebacteriaceae,Corynebacterium auriscanis,Gram positive,17.0
1515613,Bacteroidota,Porphyromonadaceae,Porphyromonas sp. COT-239 OH1446,Gram negative,27.0
1537504,Bacteroidota,Porphyromonadaceae,Porphyromonas sp. COT-108 OH1349,Gram negative,28.0
1515615,Bacteroidota,Porphyromonadaceae,Porphyromonas sp. COT-290 OH860,Gram negative,27.0
1300343,Bacteroidota,Flavobacteriaceae,Dokdonia donghaensis,Gram negative,28.0
1406840,Bacteroidota,Flavobacteriaceae,Flavobacterium beibuense,Gram negative,28.0
1121895,Bacteroidota,Flavobacteriaceae,Flavobacterium rivuli,Gram negative,28.0
1121898,Bacteroidota,Flavobacteriaceae,Flavobacterium subsaxonicum,Gram negative,28.0
1107311,Bacteroidota,Flavobacteriaceae,Flavobacterium enshiense,Gram negative,28.0
1385514,Bacillota,Bacillaceae,Pontibacillus yanchengensis,Gram positive,14.0
1385513,Bacillota,Bacillaceae,Pontibacillus chungwhensis,Gram positive,14.0
1245745,Ascomycota,Cordycipitaceae,Beauveria bassiana,NA,33.0
1300345,Pseudomonadota,Lysobacteraceae,Lysobacter dokdonensis,Gram negative,33.0
750,Pseudomonadota,Pasteurellaceae,Gallibacterium anatis,Gram negative,33.0
155517,Pseudomonadota,Pasteurellaceae,Gallibacterium genomosp. 2,Gram negative,33.0
155515,Pseudomonadota,Pasteurellaceae,Gallibacterium genomosp. 1,Gram negative,33.0
1396510,Pseudomonadota,Pasteurellaceae,Gallibacterium anatis,Gram negative,33.0
505317,Pseudomonadota,Pasteurellaceae,Chelonobacter oris,Gram negative,33.0
1384057,Bacillota,Planococcaceae,Ureibacillus sinduriensis,Gram positive,14.0
1220589,Bacillota,Bacillaceae,Lysinibacillus odysseyi,Gram positive,14.0
1211035,Bacillota,Planococcaceae,Ureibacillus massiliensis,Gram positive,14.0
1385510,Bacillota,Bacillaceae,Pontibacillus halophilus,Gram positive,19.0
546,Pseudomonadota,Enterobacteriaceae,Citrobacter freundii,Gram negative,33.0
582,Pseudomonadota,Morganellaceae,Morganella morganii,Gram negative,33.0
104605,Pseudomonadota,Sphingomonadaceae,Sphingomonas sp. Ant20,Gram negative,33.0
587753,Pseudomonadota,Pseudomonadaceae,Pseudomonas chlororaphis,Gram negative,33.0
317013,Pseudomonadota,Lysobacteraceae,Xanthomonas phaseoli,Gram negative,33.0
706436,Bacteroidota,Flavobacteriaceae,Capnocytophaga sp. oral taxon 329,Gram negative,28.0
754093,Pseudomonadota,Enterobacteriaceae,Shigella dysenteriae,Gram negative,33.0
157782,Pseudomonadota,Pseudomonadaceae,Pseudomonas parafulva,Gram negative,33.0
1385664,Bacteroidota,Hymenobacteraceae,Hymenobacter sp. DG25B,Gram negative,28.0
1262452,Actinomycetota,Streptomycetaceae,Streptomyces sp. 769,Gram positive,23.0
1500960,Campylobacterota,Campylobacteraceae,Campylobacter sp. RM16704,Gram negative,32.0
1031564,Campylobacterota,Campylobacteraceae,Campylobacter insulaenigrae,Gram negative,32.0
1388751,Campylobacterota,Campylobacteraceae,Campylobacter subantarcticus,Gram negative,32.0
1388749,Campylobacterota,Campylobacteraceae,Campylobacter lari,Gram negative,32.0
1543706,Bacillota,Bacillaceae,Halobacillus sp. BBL2006,Gram positive,14.0
1565314,Campylobacterota,Sulfurospirillaceae,Sulfurospirillum sp. MES,Gram negative,32.0
713612,Actinomycetota,Nocardiaceae,Rhodococcus sp. Chr-9,Gram positive,17.0
1217052,Pseudomonadota,Burkholderiaceae,Ralstonia sp. A12,Gram negative,33.0
1577905,Pseudomonadota,Roseobacteraceae,Tateyamaria sp. ANG-S1,Gram negative,34.0
1002340,Pseudomonadota,Roseobacteraceae,Leisingera sp. ANG1,Gram negative,29.0
1226633,Fusobacteriota,Fusobacteriaceae,Fusobacterium necrophorum,Gram negative,28.0
1526927,Bacillota,Planococcaceae,Planococcus sp. PAMC 21323,Gram positive,14.0
756828,Bacillota,Bacillaceae,Bacillus sp. WP8,Gram positive,19.0
1041138,Pseudomonadota,Rhizobiaceae,Rhizobium gallicum,Gram negative,33.0
1123366,Pseudomonadota,Thalassospiraceae,Thalassospira xiamenensis,Gram negative,33.0
1508404,Bacillota,Planococcaceae,Jeotgalibacillus malaysiensis,Gram positive,14.0
546263,Pseudomonadota,Neisseriaceae,Neisseria elongata,Gram negative,33.0
1223515,Actinomycetota,Corynebacteriaceae,Corynebacterium humireducens,Gram positive,17.0
1081613,Actinomycetota,Streptomycetaceae,Streptomyces albus,Gram positive,23.0
161899,Actinomycetota,Corynebacteriaceae,Corynebacterium singulare,Gram positive,17.0
1224162,Actinomycetota,Corynebacteriaceae,Corynebacterium marinum,Gram positive,17.0
294,Pseudomonadota,Pseudomonadaceae,Pseudomonas fluorescens,Gram negative,33.0
28189,Bacteroidota,Flavobacteriaceae,Capnocytophaga cynodegmi,Gram negative,28.0
1481914,Pseudomonadota,Vibrionaceae,Vibrio ishigakensis,Gram negative,33.0
1577902,Pseudomonadota,Roseobacteraceae,Leisingera sp. ANG-M7,Gram negative,29.0
1577904,Pseudomonadota,Roseobacteraceae,Ruegeria sp. ANG-S4,Gram negative,29.0
1478175,Chlamydiota,Parachlamydiaceae,Neochlamydia sp. EPS4,Gram negative,14.0
1478174,Chlamydiota,Parachlamydiaceae,Neochlamydia sp. TUME1,Gram negative,14.0
1577903,Pseudomonadota,Roseobacteraceae,Ruegeria sp. ANG-R,Gram negative,29.0
43657,Pseudomonadota,Pseudoalteromonadaceae,Pseudoalteromonas luteoviolacea,Gram negative,33.0
1229493,Pseudomonadota,Vibrionaceae,Vibrio owensii,Gram negative,33.0
1576605,Actinomycetota,Streptomycetaceae,Streptomyces sp. 150FB,Gram positive,23.0
1245935,Cyanobacteriota,Tolypothrichaceae,Tolypothrix campylonemoides,Gram negative,13.0
1539062,Campylobacterota,Sulfurovaceae,Sulfurovum sp. AS07-7,Gram negative,33.0
1539065,Campylobacterota,Sulfurovaceae,Sulfurovum sp. FS08-3,Gram negative,33.0
1539063,Campylobacterota,Sulfurovaceae,Sulfurovum sp. PC08-66,Gram negative,33.0
1572758,Pseudomonadota,Zoogloeaceae,Thauera sp. SWB20,Gram negative,33.0
866350,Pseudomonadota,Halomonadaceae,Halomonas sp. KHS3,Gram negative,33.0
1521167,Pseudomonadota,Shewanellaceae,Shewanella sp. cp20,Gram negative,33.0
58133,Pseudomonadota,Nitrosomonadaceae,Nitrosospira sp. NpAV,Gram negative,33.0
1328314,Pseudomonadota,Pseudomonadaceae,Azotobacter chroococcum,Gram negative,33.0
68895,Pseudomonadota,Burkholderiaceae,Cupriavidus basilensis,Gram negative,33.0
1611770,Pseudomonadota,Pseudomonadaceae,Pseudomonas sp. MRSN 12121,Gram negative,33.0
477245,Actinomycetota,Streptomycetaceae,Streptomyces cyaneogriseus,Gram positive,23.0
1384061,Pseudomonadota,Pseudomonadaceae,Pseudomonas putida,Gram negative,33.0
1445510,Pseudomonadota,Saccharospirillaceae,Gynuella sunshinyii,Gram negative,33.0
1454006,Bacteroidota,Flavobacteriaceae,Siansivirga zeaxanthinifaciens,Gram negative,28.0
658445,Pseudomonadota,Vibrionaceae,Photobacterium gaetbulicola,Gram negative,33.0
568707,Pseudomonadota,Alcaligenaceae,Bordetella bronchiseptica,Gram negative,33.0
1219050,Pseudomonadota,Sphingomonadaceae,Sphingomonas paucimobilis,Gram negative,33.0
1435038,Bacillota,Lactobacillaceae,Lacticaseibacillus paracasei,Gram positive,13.0
727,Pseudomonadota,Pasteurellaceae,Haemophilus influenzae,Gram negative,33.0
1602169,Bacteroidota,Prevotellaceae,Prevotella pectinovora,Gram negative,28.0
40324,Pseudomonadota,Lysobacteraceae,Stenotrophomonas maltophilia,Gram negative,33.0
47880,Pseudomonadota,Pseudomonadaceae,Pseudomonas fulva,Gram negative,33.0
358,Pseudomonadota,Rhizobiaceae,Agrobacterium tumefaciens,Gram negative,33.0
1587522,Actinomycetota,Nocardiaceae,Rhodococcus sp. MEB064,Gram positive,17.0
34073,Pseudomonadota,Comamonadaceae,Variovorax paradoxus,Gram negative,34.0
1123501,Pseudomonadota,Roseobacteraceae,Wenxinia marina,Gram negative,29.0
1588629,Pseudomonadota,Aeromonadaceae,Aeromonas sp. L_1B5_3,Gram negative,33.0
1199154,Pseudomonadota,Lysobacteraceae,Lysobacter sp. A03,Gram negative,33.0
1423,Bacillota,Bacillaceae,Bacillus subtilis,Gram positive,14.0
1566358,Bacillota,Paenibacillaceae,Paenibacillus sp. IHBB 10380,Gram positive,13.0
1130798,Bacillota,Lactobacillaceae,Limosilactobacillus mucosae,Gram positive,13.0
1486262,Pseudomonadota,Aurantimonadaceae,Martelella endophytica,Gram negative,33.0
1504981,Pseudomonadota,Halomonadaceae,Halomonas sp. KO116,Gram negative,33.0
1500686,Pseudomonadota,Pseudomonadaceae,Pseudomonas sp. Os17,Gram negative,33.0
1610576,Pseudomonadota,Halomonadaceae,Halomonas sp. R57-5,Gram negative,33.0
90371,Pseudomonadota,Enterobacteriaceae,Salmonella enterica,Gram negative,33.0
85698,Pseudomonadota,Alcaligenaceae,Achromobacter xylosoxidans,Gram negative,33.0
1717,Actinomycetota,Corynebacteriaceae,Corynebacterium diphtheriae,Gram positive,17.0
1231623,Pseudomonadota,Acetobacteraceae,Tanticharoenia sakaeratensis,Gram negative,33.0
887700,Pseudomonadota,Acetobacteraceae,Acetobacter aceti,Gram negative,33.0
146474,Pseudomonadota,Acetobacteraceae,Acetobacter orientalis,Gram negative,33.0
1231350,Pseudomonadota,Acetobacteraceae,Acidisphaera rubrifaciens,Gram negative,33.0
1120923,Pseudomonadota,Acetobacteraceae,Acidocella aminolytica,Gram negative,28.0
1234669,Pseudomonadota,Acetobacteraceae,Komagataeibacter europaeus,Gram negative,33.0
1234668,Pseudomonadota,Acetobacteraceae,Komagataeibacter xylinus,Gram negative,33.0
1604022,Pseudomonadota,Pseudomonadaceae,Pseudomonas sp. FeS53a,Gram negative,33.0
