Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
N-acetylmuramoyl-L-alanine amidase [Romboutsia],Romboutsia,198,198,100%,5e-61,54.86,284,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_153923803.1?report=genbank&log$=prottop&blast_rank=11&RID=96JFA6P2016"",""WP_153923803.1"")"
N-acetylmuramoyl-L-alanine amidase [Romboutsia],Romboutsia,188,188,100%,6e-57,49.45,278,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_092924008.1?report=genbank&log$=prottop&blast_rank=12&RID=96JFA6P2016"",""WP_092924008.1"")"
N-acetylmuramoyl-L-alanine amidase [Paraclostridium benzoelyticum],Paraclostridium benzoelyticum,186,186,99%,2e-56,46.55,261,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_052952007.1?report=genbank&log$=prottop&blast_rank=13&RID=96JFA6P2016"",""WP_052952007.1"")"
N-acetylmuramoyl-L-alanine amidase [Paraclostridium],Paraclostridium,186,186,99%,3e-56,46.55,261,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_052169119.1?report=genbank&log$=prottop&blast_rank=14&RID=96JFA6P2016"",""WP_052169119.1"")"
N-acetylmuramoyl-L-alanine amidase [Paraclostridium bifermentans],Paraclostridium bifermentans,182,182,97%,6e-55,49.12,261,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_021433926.1?report=genbank&log$=prottop&blast_rank=15&RID=96JFA6P2016"",""WP_021433926.1"")"
N-acetylmuramoyl-L-alanine amidase [Paeniclostridium ghonii],Paeniclostridium ghonii,181,181,99%,2e-54,45.98,262,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_250675845.1?report=genbank&log$=prottop&blast_rank=16&RID=96JFA6P2016"",""WP_250675845.1"")"
N-acetylmuramoyl-L-alanine amidase [Terrisporobacter mayombei],Terrisporobacter mayombei,174,174,100%,9e-52,50.57,270,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_228106260.1?report=genbank&log$=prottop&blast_rank=17&RID=96JFA6P2016"",""WP_228106260.1"")"
N-acetylmuramoyl-L-alanine amidase [Terrisporobacter],Terrisporobacter,173,173,100%,3e-51,51.14,270,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_083399341.1?report=genbank&log$=prottop&blast_rank=18&RID=96JFA6P2016"",""WP_083399341.1"")"
N-acetylmuramoyl-L-alanine amidase [Terrisporobacter hibernicus],Terrisporobacter hibernicus,172,172,100%,7e-51,50.57,270,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_228416590.1?report=genbank&log$=prottop&blast_rank=19&RID=96JFA6P2016"",""WP_228416590.1"")"
N-acetylmuramoyl-L-alanine amidase [Terrisporobacter glycolicus],Terrisporobacter glycolicus,171,171,100%,1e-50,50.00,270,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_018589321.1?report=genbank&log$=prottop&blast_rank=20&RID=96JFA6P2016"",""WP_018589321.1"")"
N-acetylmuramoyl-L-alanine amidase [Eubacteriales],Eubacteriales,166,166,100%,2e-48,43.43,260,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_187006272.1?report=genbank&log$=prottop&blast_rank=21&RID=96JFA6P2016"",""WP_187006272.1"")"
N-acetylmuramoyl-L-alanine amidase [Peptacetobacter hominis],Peptacetobacter hominis,167,167,100%,6e-48,41.14,353,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_142536627.1?report=genbank&log$=prottop&blast_rank=22&RID=96JFA6P2016"",""WP_142536627.1"")"
N-acetylmuramoyl-L-alanine amidase [Paeniclostridium sordellii],Paeniclostridium sordellii,164,164,99%,1e-47,44.83,260,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_101509243.1?report=genbank&log$=prottop&blast_rank=23&RID=96JFA6P2016"",""WP_101509243.1"")"
N-acetylmuramoyl-L-alanine amidase [Terrisporobacter],Terrisporobacter,163,163,100%,2e-47,47.43,271,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_052233000.1?report=genbank&log$=prottop&blast_rank=24&RID=96JFA6P2016"",""WP_052233000.1"")"
N-acetylmuramoyl-L-alanine amidase [Romboutsia],Romboutsia,152,152,98%,3e-43,46.55,236,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_153971566.1?report=genbank&log$=prottop&blast_rank=25&RID=96JFA6P2016"",""WP_153971566.1"")"
N-acetylmuramoyl-L-alanine amidase [Romboutsia ilealis],Romboutsia ilealis,152,152,98%,6e-43,48.28,266,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_180703135.1?report=genbank&log$=prottop&blast_rank=26&RID=96JFA6P2016"",""WP_180703135.1"")"
N-acetylmuramoyl-L-alanine amidase [Intestinibacter bartlettii],Intestinibacter bartlettii,153,153,100%,1e-42,42.86,332,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_034725111.1?report=genbank&log$=prottop&blast_rank=27&RID=96JFA6P2016"",""WP_034725111.1"")"
N-acetylmuramoyl-L-alanine amidase [Clostridium saudiense],Clostridium saudiense,152,152,99%,3e-42,45.40,362,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_198133998.1?report=genbank&log$=prottop&blast_rank=28&RID=96JFA6P2016"",""WP_198133998.1"")"
N-acetylmuramoyl-L-alanine amidase [Paraclostridium benzoelyticum],Paraclostridium benzoelyticum,150,150,98%,4e-41,47.40,370,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_226896662.1?report=genbank&log$=prottop&blast_rank=29&RID=96JFA6P2016"",""WP_226896662.1"")"
N-acetylmuramoyl-L-alanine amidase [Paraclostridium dentum],Paraclostridium dentum,152,152,98%,5e-41,47.40,511,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_170075121.1?report=genbank&log$=prottop&blast_rank=30&RID=96JFA6P2016"",""WP_170075121.1"")"
N-acetylmuramoyl-L-alanine amidase [Eubacteriales],Eubacteriales,154,154,98%,5e-41,47.40,615,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_187006289.1?report=genbank&log$=prottop&blast_rank=31&RID=96JFA6P2016"",""WP_187006289.1"")"
N-acetylmuramoyl-L-alanine amidase [Paraclostridium],Paraclostridium,146,146,100%,1e-40,45.71,273,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_052951945.1?report=genbank&log$=prottop&blast_rank=32&RID=96JFA6P2016"",""WP_052951945.1"")"
N-acetylmuramoyl-L-alanine amidase [Paraclostridium],Paraclostridium,145,145,100%,2e-40,45.71,273,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_052169035.1?report=genbank&log$=prottop&blast_rank=33&RID=96JFA6P2016"",""WP_052169035.1"")"
N-acetylmuramoyl-L-alanine amidase [Eubacteriales],Eubacteriales,152,152,98%,3e-40,46.24,655,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_276510620.1?report=genbank&log$=prottop&blast_rank=34&RID=96JFA6P2016"",""WP_276510620.1"")"
N-acetylmuramoyl-L-alanine amidase [Paraclostridium bifermentans],Paraclostridium bifermentans,145,145,100%,3e-40,45.71,273,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_021432365.1?report=genbank&log$=prottop&blast_rank=35&RID=96JFA6P2016"",""WP_021432365.1"")"
N-acetylmuramoyl-L-alanine amidase [Romboutsia maritimum],Romboutsia maritimum,144,144,98%,4e-40,42.53,245,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_095404496.1?report=genbank&log$=prottop&blast_rank=36&RID=96JFA6P2016"",""WP_095404496.1"")"
N-acetylmuramoyl-L-alanine amidase family protein [Paenibacillus swuensis],Paenibacillus swuensis,149,149,98%,4e-40,45.09,472,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_068609124.1?report=genbank&log$=prottop&blast_rank=37&RID=96JFA6P2016"",""WP_068609124.1"")"
N-acetylmuramoyl-L-alanine amidase family protein [Paenibacillus woosongensis],Paenibacillus woosongensis,149,149,98%,4e-40,44.51,482,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_244996358.1?report=genbank&log$=prottop&blast_rank=38&RID=96JFA6P2016"",""WP_244996358.1"")"
N-acetylmuramoyl-L-alanine amidase [Paeniclostridium sordellii],Paeniclostridium sordellii,144,144,98%,1e-39,45.66,274,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_055329440.1?report=genbank&log$=prottop&blast_rank=39&RID=96JFA6P2016"",""WP_055329440.1"")"
N-acetylmuramoyl-L-alanine amidase family protein [Paenibacillus ihumii],Paenibacillus ihumii,148,148,98%,1e-39,45.09,504,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_074048719.1?report=genbank&log$=prottop&blast_rank=40&RID=96JFA6P2016"",""WP_074048719.1"")"
N-acetylmuramoyl-L-alanine amidase family protein [Paenibacillus lentus],Paenibacillus lentus,149,149,98%,2e-39,45.09,575,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_164515090.1?report=genbank&log$=prottop&blast_rank=41&RID=96JFA6P2016"",""WP_164515090.1"")"
N-acetylmuramoyl-L-alanine amidase family protein [Paenibacillus popilliae],Paenibacillus popilliae,148,148,99%,2e-39,42.53,495,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_042229679.1?report=genbank&log$=prottop&blast_rank=42&RID=96JFA6P2016"",""WP_042229679.1"")"
N-acetylmuramoyl-L-alanine amidase family protein [Paenibacillus campinasensis],Paenibacillus campinasensis,147,147,98%,2e-39,44.51,478,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_095263575.1?report=genbank&log$=prottop&blast_rank=43&RID=96JFA6P2016"",""WP_095263575.1"")"
family 10 glycosylhydrolase [Desnuesiella massiliensis],Desnuesiella massiliensis,150,150,98%,2e-39,48.00,855,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_055667245.1?report=genbank&log$=prottop&blast_rank=44&RID=96JFA6P2016"",""WP_055667245.1"")"
SH3 domain-containing protein [Paeniclostridium sordellii],Paeniclostridium sordellii,150,150,98%,2e-39,45.66,844,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_158645359.1?report=genbank&log$=prottop&blast_rank=45&RID=96JFA6P2016"",""WP_158645359.1"")"
N-acetylmuramoyl-L-alanine amidase [Paeniclostridium sordellii],Paeniclostridium sordellii,148,148,98%,3e-39,46.24,559,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_101509251.1?report=genbank&log$=prottop&blast_rank=46&RID=96JFA6P2016"",""WP_101509251.1"")"
N-acetylmuramoyl-L-alanine amidase family protein [Paenibacillus protaetiae],Paenibacillus protaetiae,147,147,98%,4e-39,43.93,482,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_165279868.1?report=genbank&log$=prottop&blast_rank=47&RID=96JFA6P2016"",""WP_165279868.1"")"
N-acetylmuramoyl-L-alanine amidase family protein [Paenibacillus aceti],Paenibacillus aceti,146,146,98%,6e-39,44.51,473,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_120462219.1?report=genbank&log$=prottop&blast_rank=48&RID=96JFA6P2016"",""WP_120462219.1"")"
N-acetylmuramoyl-L-alanine amidase [Eubacteriales],Eubacteriales,142,142,98%,6e-39,43.93,273,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_187004973.1?report=genbank&log$=prottop&blast_rank=49&RID=96JFA6P2016"",""WP_187004973.1"")"
N-acetylmuramoyl-L-alanine amidase family protein [Paenibacillus selenitireducens],Paenibacillus selenitireducens,147,147,98%,6e-39,41.62,510,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_078503179.1?report=genbank&log$=prottop&blast_rank=50&RID=96JFA6P2016"",""WP_078503179.1"")"
N-acetylmuramoyl-L-alanine amidase family protein [Paenibacillus uliginis],Paenibacillus uliginis,145,145,98%,7e-39,43.35,456,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_208914472.1?report=genbank&log$=prottop&blast_rank=51&RID=96JFA6P2016"",""WP_208914472.1"")"
N-acetylmuramoyl-L-alanine amidase family protein [Paenibacillus lautus],Paenibacillus lautus,145,145,98%,8e-39,43.35,459,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_127594100.1?report=genbank&log$=prottop&blast_rank=52&RID=96JFA6P2016"",""WP_127594100.1"")"
N-acetylmuramoyl-L-alanine amidase family protein [Paenibacillus puerhi],Paenibacillus puerhi,147,147,98%,8e-39,41.62,559,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_159883101.1?report=genbank&log$=prottop&blast_rank=53&RID=96JFA6P2016"",""WP_159883101.1"")"
N-acetylmuramoyl-L-alanine amidase family protein [Paenibacillus solani],Paenibacillus solani,145,145,98%,9e-39,43.93,461,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_054401751.1?report=genbank&log$=prottop&blast_rank=54&RID=96JFA6P2016"",""WP_054401751.1"")"
N-acetylmuramoyl-L-alanine amidase family protein [Paenibacillus guangzhouensis],Paenibacillus guangzhouensis,146,146,98%,1e-38,39.31,504,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_152393880.1?report=genbank&log$=prottop&blast_rank=55&RID=96JFA6P2016"",""WP_152393880.1"")"
N-acetylmuramoyl-L-alanine amidase family protein [Paenibacillus],Paenibacillus,145,145,98%,1e-38,43.35,461,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_006209560.1?report=genbank&log$=prottop&blast_rank=56&RID=96JFA6P2016"",""WP_006209560.1"")"
N-acetylmuramoyl-L-alanine amidase [Caldicellulosiruptor danielii],Caldicellulosiruptor danielii,138,138,99%,1e-38,44.51,187,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_045174539.1?report=genbank&log$=prottop&blast_rank=57&RID=96JFA6P2016"",""WP_045174539.1"")"
N-acetylmuramoyl-L-alanine amidase family protein [Paenibacillus faecalis],Paenibacillus faecalis,144,144,98%,2e-38,41.04,462,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_199794875.1?report=genbank&log$=prottop&blast_rank=58&RID=96JFA6P2016"",""WP_199794875.1"")"
N-acetylmuramoyl-L-alanine amidase [Gracilibacillus dipsosauri],Gracilibacillus dipsosauri,139,139,98%,2e-38,41.14,244,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_245902251.1?report=genbank&log$=prottop&blast_rank=59&RID=96JFA6P2016"",""WP_245902251.1"")"
N-acetylmuramoyl-L-alanine amidase family protein [Paenibacillus terrigena],Paenibacillus terrigena,145,145,98%,3e-38,40.46,502,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_018755392.1?report=genbank&log$=prottop&blast_rank=60&RID=96JFA6P2016"",""WP_018755392.1"")"
N-acetylmuramoyl-L-alanine amidase family protein [Paenibacillus kobensis],Paenibacillus kobensis,145,145,98%,4e-38,43.35,504,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_127531080.1?report=genbank&log$=prottop&blast_rank=61&RID=96JFA6P2016"",""WP_127531080.1"")"
N-acetylmuramoyl-L-alanine amidase [Paenibacillus thiaminolyticus],Paenibacillus thiaminolyticus,144,144,99%,4e-38,42.53,491,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_087441869.1?report=genbank&log$=prottop&blast_rank=62&RID=96JFA6P2016"",""WP_087441869.1"")"
N-acetylmuramoyl-L-alanine amidase family protein [Paenibacillus bouchesdurhonensis],Paenibacillus bouchesdurhonensis,144,144,98%,4e-38,43.93,493,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_110931980.1?report=genbank&log$=prottop&blast_rank=63&RID=96JFA6P2016"",""WP_110931980.1"")"
N-acetylmuramoyl-L-alanine amidase [Chlamydia caviae],Chlamydia caviae,138,138,98%,4e-38,40.22,239,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_041462205.1?report=genbank&log$=prottop&blast_rank=64&RID=96JFA6P2016"",""WP_041462205.1"")"
SH3 domain-containing protein [Clostridium cuniculi],Clostridium cuniculi,147,147,99%,5e-38,42.53,886,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_133015103.1?report=genbank&log$=prottop&blast_rank=65&RID=96JFA6P2016"",""WP_133015103.1"")"
N-acetylmuramoyl-L-alanine amidase [Paenibacillus alkalitolerans],Paenibacillus alkalitolerans,143,143,97%,6e-38,44.12,453,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_199614869.1?report=genbank&log$=prottop&blast_rank=66&RID=96JFA6P2016"",""WP_199614869.1"")"
N-acetylmuramoyl-L-alanine amidase family protein [Paenibacillus dokdonensis],Paenibacillus dokdonensis,144,144,98%,8e-38,42.77,505,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_136606102.1?report=genbank&log$=prottop&blast_rank=67&RID=96JFA6P2016"",""WP_136606102.1"")"
N-acetylmuramoyl-L-alanine amidase [Calidifontibacillus oryziterrae],Calidifontibacillus oryziterrae,137,137,98%,9e-38,41.14,205,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_233274983.1?report=genbank&log$=prottop&blast_rank=68&RID=96JFA6P2016"",""WP_233274983.1"")"
N-acetylmuramoyl-L-alanine amidase [Paenibacillus borealis],Paenibacillus borealis,138,138,98%,9e-38,38.86,248,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_042215135.1?report=genbank&log$=prottop&blast_rank=69&RID=96JFA6P2016"",""WP_042215135.1"")"
N-acetylmuramoyl-L-alanine amidase family protein [Paenibacillus zanthoxyli],Paenibacillus zanthoxyli,143,143,98%,9e-38,43.35,493,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_025691724.1?report=genbank&log$=prottop&blast_rank=70&RID=96JFA6P2016"",""WP_025691724.1"")"
N-acetylmuramoyl-L-alanine amidase family protein [Paenibacillus dakarensis],Paenibacillus dakarensis,142,142,98%,1e-37,41.62,453,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_054957382.1?report=genbank&log$=prottop&blast_rank=71&RID=96JFA6P2016"",""WP_054957382.1"")"
N-acetylmuramoyl-L-alanine amidase family protein [Paenibacillus mangrovi],Paenibacillus mangrovi,143,143,98%,1e-37,41.62,501,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_244728823.1?report=genbank&log$=prottop&blast_rank=72&RID=96JFA6P2016"",""WP_244728823.1"")"
N-acetylmuramoyl-L-alanine amidase [Caldicellulosiruptor owensensis],Caldicellulosiruptor owensensis,136,136,100%,1e-37,43.72,190,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_013411840.1?report=genbank&log$=prottop&blast_rank=73&RID=96JFA6P2016"",""WP_013411840.1"")"
N-acetylmuramoyl-L-alanine amidase [Priestia],Priestia,140,140,98%,1e-37,43.35,372,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_062687216.1?report=genbank&log$=prottop&blast_rank=74&RID=96JFA6P2016"",""WP_062687216.1"")"
N-acetylmuramoyl-L-alanine amidase [Paeniclostridium ghonii],Paeniclostridium ghonii,140,140,98%,1e-37,44.51,374,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_250676014.1?report=genbank&log$=prottop&blast_rank=75&RID=96JFA6P2016"",""WP_250676014.1"")"
N-acetylmuramoyl-L-alanine amidase family protein [Paenibacillus profundus],Paenibacillus profundus,143,143,98%,2e-37,42.20,495,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_233696455.1?report=genbank&log$=prottop&blast_rank=76&RID=96JFA6P2016"",""WP_233696455.1"")"
N-acetylmuramoyl-L-alanine amidase family protein [Paenibacillus dendritiformis],Paenibacillus dendritiformis,142,142,99%,2e-37,42.53,491,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_213468263.1?report=genbank&log$=prottop&blast_rank=77&RID=96JFA6P2016"",""WP_213468263.1"")"
N-acetylmuramoyl-L-alanine amidase family protein [Papillibacter cinnamivorans],Papillibacter cinnamivorans,142,142,99%,2e-37,42.86,477,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_084235065.1?report=genbank&log$=prottop&blast_rank=78&RID=96JFA6P2016"",""WP_084235065.1"")"
N-acetylmuramoyl-L-alanine amidase family protein [Paenibacillus urinalis],Paenibacillus urinalis,142,142,98%,2e-37,42.77,463,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_274337302.1?report=genbank&log$=prottop&blast_rank=79&RID=96JFA6P2016"",""WP_274337302.1"")"
N-acetylmuramoyl-L-alanine amidase family protein [Paenibacillus cookii],Paenibacillus cookii,142,142,98%,2e-37,41.62,471,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_212952062.1?report=genbank&log$=prottop&blast_rank=80&RID=96JFA6P2016"",""WP_212952062.1"")"
N-acetylmuramoyl-L-alanine amidase family protein [Paenibacillus yonginensis],Paenibacillus yonginensis,143,143,98%,2e-37,43.68,513,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_068695808.1?report=genbank&log$=prottop&blast_rank=81&RID=96JFA6P2016"",""WP_068695808.1"")"
N-acetylmuramoyl-L-alanine amidase [Paenibacillus azoreducens],Paenibacillus azoreducens,142,142,98%,2e-37,39.31,470,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_212977797.1?report=genbank&log$=prottop&blast_rank=82&RID=96JFA6P2016"",""WP_212977797.1"")"
N-acetylmuramoyl-L-alanine amidase family protein [Paenibacillus physcomitrellae],Paenibacillus physcomitrellae,142,142,98%,2e-37,43.68,512,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_174704665.1?report=genbank&log$=prottop&blast_rank=83&RID=96JFA6P2016"",""WP_174704665.1"")"
N-acetylmuramoyl-L-alanine amidase family protein [Paenibacillus gallinarum],Paenibacillus gallinarum,142,142,97%,2e-37,43.27,464,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_191799301.1?report=genbank&log$=prottop&blast_rank=84&RID=96JFA6P2016"",""WP_191799301.1"")"
N-acetylmuramoyl-L-alanine amidase family protein [Paenibacillus lemnae],Paenibacillus lemnae,141,141,98%,3e-37,43.35,457,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_169506755.1?report=genbank&log$=prottop&blast_rank=85&RID=96JFA6P2016"",""WP_169506755.1"")"
N-acetylmuramoyl-L-alanine amidase [Priestia flexa],Priestia flexa,138,138,98%,3e-37,42.77,302,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_241474962.1?report=genbank&log$=prottop&blast_rank=86&RID=96JFA6P2016"",""WP_241474962.1"")"
N-acetylmuramoyl-L-alanine amidase family protein [Paenibacillus cookii],Paenibacillus cookii,142,142,98%,3e-37,41.95,510,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_212952061.1?report=genbank&log$=prottop&blast_rank=87&RID=96JFA6P2016"",""WP_212952061.1"")"
N-acetylmuramoyl-L-alanine amidase family protein [Paenibacillus dokdonensis],Paenibacillus dokdonensis,142,142,98%,3e-37,41.62,474,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_246072945.1?report=genbank&log$=prottop&blast_rank=88&RID=96JFA6P2016"",""WP_246072945.1"")"
N-acetylmuramoyl-L-alanine amidase family protein [Paenibacillus faecalis],Paenibacillus faecalis,141,141,98%,4e-37,45.66,460,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_106767902.1?report=genbank&log$=prottop&blast_rank=89&RID=96JFA6P2016"",""WP_106767902.1"")"
N-acetylmuramoyl-L-alanine amidase family protein [Paenibacillus uliginis],Paenibacillus uliginis,141,141,98%,4e-37,43.35,483,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_208914474.1?report=genbank&log$=prottop&blast_rank=90&RID=96JFA6P2016"",""WP_208914474.1"")"
