Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium vicinigordonae],Mycobacterium vicinigordonae,308,308,99%,3e-104,68.97,257,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_180915795.1?report=genbank&log$=prottop&blast_rank=11&RID=96KRKV8D016"",""WP_180915795.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium bourgelatii],Mycobacterium bourgelatii,308,308,99%,4e-104,69.80,253,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_205351523.1?report=genbank&log$=prottop&blast_rank=12&RID=96KRKV8D016"",""WP_205351523.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium madagascariense],Mycolicibacterium madagascariense,308,308,100%,6e-104,70.59,256,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_197746964.1?report=genbank&log$=prottop&blast_rank=13&RID=96KRKV8D016"",""WP_197746964.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium hodleri],Mycolicibacterium hodleri,308,308,99%,6e-104,71.29,256,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_275079463.1?report=genbank&log$=prottop&blast_rank=14&RID=96KRKV8D016"",""WP_275079463.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium riyadhense],Mycobacterium riyadhense,307,307,99%,1e-103,69.31,253,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_085252804.1?report=genbank&log$=prottop&blast_rank=15&RID=96KRKV8D016"",""WP_085252804.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium sphagni],Mycolicibacterium sphagni,306,306,100%,1e-103,69.61,237,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_094479500.1?report=genbank&log$=prottop&blast_rank=16&RID=96KRKV8D016"",""WP_094479500.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium sphagni],Mycolicibacterium sphagni,306,306,99%,2e-103,67.98,230,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_094477916.1?report=genbank&log$=prottop&blast_rank=17&RID=96KRKV8D016"",""WP_094477916.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Candidatus Mycolicibacterium alkanivorans],Candidatus Mycolicibacterium alkanivorans,306,306,100%,2e-103,69.12,252,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_243073233.1?report=genbank&log$=prottop&blast_rank=18&RID=96KRKV8D016"",""WP_243073233.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium anyangense],Mycolicibacterium anyangense,306,306,100%,3e-103,68.14,252,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_163807748.1?report=genbank&log$=prottop&blast_rank=19&RID=96KRKV8D016"",""WP_163807748.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium cookii],Mycobacterium cookii,305,305,100%,3e-103,69.12,243,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_163781813.1?report=genbank&log$=prottop&blast_rank=20&RID=96KRKV8D016"",""WP_163781813.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium sarraceniae],Mycolicibacterium sarraceniae,305,305,100%,5e-103,67.65,234,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_163702280.1?report=genbank&log$=prottop&blast_rank=21&RID=96KRKV8D016"",""WP_163702280.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium pallens],Mycolicibacterium pallens,305,305,100%,5e-103,68.63,237,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_225933788.1?report=genbank&log$=prottop&blast_rank=22&RID=96KRKV8D016"",""WP_225933788.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium sediminis],Mycolicibacterium sediminis,305,305,99%,6e-103,69.80,245,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_163801385.1?report=genbank&log$=prottop&blast_rank=23&RID=96KRKV8D016"",""WP_163801385.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium wolinskyi],Mycolicibacterium wolinskyi,305,305,99%,7e-103,69.95,261,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_067851687.1?report=genbank&log$=prottop&blast_rank=24&RID=96KRKV8D016"",""WP_067851687.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium pulveris],Mycolicibacterium pulveris,304,304,99%,1e-102,69.80,249,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_163900928.1?report=genbank&log$=prottop&blast_rank=25&RID=96KRKV8D016"",""WP_163900928.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium shinjukuense],Mycobacterium shinjukuense,304,304,99%,1e-102,68.81,253,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_083048897.1?report=genbank&log$=prottop&blast_rank=26&RID=96KRKV8D016"",""WP_083048897.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium brisbanense],Mycolicibacterium brisbanense,304,304,99%,1e-102,68.81,255,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_029372669.1?report=genbank&log$=prottop&blast_rank=27&RID=96KRKV8D016"",""WP_029372669.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium dioxanotrophicus],Mycobacterium dioxanotrophicus,304,304,99%,2e-102,68.81,255,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_198344239.1?report=genbank&log$=prottop&blast_rank=28&RID=96KRKV8D016"",""WP_198344239.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium xanthum],Mycolicibacterium xanthum,303,303,100%,2e-102,68.63,249,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_221367869.1?report=genbank&log$=prottop&blast_rank=29&RID=96KRKV8D016"",""WP_221367869.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium aquaticum],Mycobacterium aquaticum,304,304,99%,2e-102,68.32,255,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_211296104.1?report=genbank&log$=prottop&blast_rank=30&RID=96KRKV8D016"",""WP_211296104.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium elephantis],Mycolicibacterium elephantis,303,303,99%,3e-102,69.80,249,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_064891348.1?report=genbank&log$=prottop&blast_rank=31&RID=96KRKV8D016"",""WP_064891348.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium komossense],Mycolicibacterium komossense,303,303,99%,3e-102,69.31,241,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_276031056.1?report=genbank&log$=prottop&blast_rank=32&RID=96KRKV8D016"",""WP_276031056.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium gastri],Mycobacterium gastri,303,303,99%,3e-102,69.31,257,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_051508147.1?report=genbank&log$=prottop&blast_rank=33&RID=96KRKV8D016"",""WP_051508147.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium dioxanotrophicus],Mycobacterium dioxanotrophicus,302,302,100%,3e-102,68.63,236,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_087083058.1?report=genbank&log$=prottop&blast_rank=34&RID=96KRKV8D016"",""WP_087083058.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium ostraviense],Mycobacterium ostraviense,303,303,99%,3e-102,69.31,257,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_075509817.1?report=genbank&log$=prottop&blast_rank=35&RID=96KRKV8D016"",""WP_075509817.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium aichiense],Mycolicibacterium aichiense,303,303,100%,4e-102,67.65,252,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_115317641.1?report=genbank&log$=prottop&blast_rank=36&RID=96KRKV8D016"",""WP_115317641.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium sphagni],Mycolicibacterium sphagni,302,302,100%,4e-102,67.65,234,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_094483558.1?report=genbank&log$=prottop&blast_rank=37&RID=96KRKV8D016"",""WP_094483558.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium aquaticum],Mycobacterium aquaticum,302,302,100%,5e-102,68.63,235,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_083160786.1?report=genbank&log$=prottop&blast_rank=38&RID=96KRKV8D016"",""WP_083160786.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium innocens],Mycobacterium innocens,303,303,99%,6e-102,69.31,260,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_075542373.1?report=genbank&log$=prottop&blast_rank=39&RID=96KRKV8D016"",""WP_075542373.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium paraffinicum],Mycobacterium paraffinicum,301,301,100%,6e-102,67.65,227,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_264037109.1?report=genbank&log$=prottop&blast_rank=40&RID=96KRKV8D016"",""WP_264037109.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium pseudokansasii],Mycobacterium pseudokansasii,302,302,99%,8e-102,69.31,257,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_036405585.1?report=genbank&log$=prottop&blast_rank=41&RID=96KRKV8D016"",""WP_036405585.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium paraterrae],Mycobacterium paraterrae,301,301,100%,8e-102,67.65,239,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_240263780.1?report=genbank&log$=prottop&blast_rank=42&RID=96KRKV8D016"",""WP_240263780.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacteroides immunogenum],Mycobacteroides immunogenum,301,301,99%,8e-102,68.47,227,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_043079797.1?report=genbank&log$=prottop&blast_rank=43&RID=96KRKV8D016"",""WP_043079797.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium paragordonae],Mycobacterium paragordonae,302,302,99%,1e-101,67.82,253,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_197748232.1?report=genbank&log$=prottop&blast_rank=44&RID=96KRKV8D016"",""WP_197748232.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium yunnanensis],Mycobacterium yunnanensis,302,302,100%,1e-101,68.14,256,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_276070210.1?report=genbank&log$=prottop&blast_rank=45&RID=96KRKV8D016"",""WP_276070210.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium persicum],Mycobacterium persicum,302,302,99%,1e-101,69.31,260,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_075546871.1?report=genbank&log$=prottop&blast_rank=46&RID=96KRKV8D016"",""WP_075546871.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium crocinum],Mycolicibacterium crocinum,301,301,100%,1e-101,67.65,237,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_240180608.1?report=genbank&log$=prottop&blast_rank=47&RID=96KRKV8D016"",""WP_240180608.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium gordonae],Mycobacterium gordonae,301,301,99%,1e-101,67.82,253,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_197521981.1?report=genbank&log$=prottop&blast_rank=48&RID=96KRKV8D016"",""WP_197521981.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium phocaicum],Mycolicibacterium phocaicum,301,301,100%,2e-101,67.16,241,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_138251202.1?report=genbank&log$=prottop&blast_rank=49&RID=96KRKV8D016"",""WP_138251202.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium thermoresistibile],Mycolicibacterium thermoresistibile,301,301,100%,2e-101,69.12,258,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_040546842.1?report=genbank&log$=prottop&blast_rank=50&RID=96KRKV8D016"",""WP_040546842.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium helvum],Mycolicibacterium helvum,301,301,100%,2e-101,68.63,251,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_163751979.1?report=genbank&log$=prottop&blast_rank=51&RID=96KRKV8D016"",""WP_163751979.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacillus trivialis],Mycolicibacillus trivialis,301,301,100%,2e-101,66.67,250,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_207568437.1?report=genbank&log$=prottop&blast_rank=52&RID=96KRKV8D016"",""WP_207568437.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium kansasii],Mycobacterium kansasii,301,301,99%,2e-101,68.81,255,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_023368719.1?report=genbank&log$=prottop&blast_rank=53&RID=96KRKV8D016"",""WP_023368719.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium attenuatum],Mycobacterium attenuatum,301,301,99%,2e-101,68.81,255,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_211186547.1?report=genbank&log$=prottop&blast_rank=54&RID=96KRKV8D016"",""WP_211186547.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium asiaticum],Mycobacterium asiaticum,301,301,99%,2e-101,67.82,256,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_036362724.1?report=genbank&log$=prottop&blast_rank=55&RID=96KRKV8D016"",""WP_036362724.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium aromaticivorans],Mycolicibacterium aromaticivorans,300,300,100%,2e-101,67.65,237,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_109751205.1?report=genbank&log$=prottop&blast_rank=56&RID=96KRKV8D016"",""WP_109751205.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium neworleansense],Mycolicibacterium neworleansense,301,301,100%,2e-101,66.67,249,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_162839254.1?report=genbank&log$=prottop&blast_rank=57&RID=96KRKV8D016"",""WP_162839254.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium genavense],Mycobacterium genavense,300,300,99%,3e-101,68.81,240,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_025736399.1?report=genbank&log$=prottop&blast_rank=58&RID=96KRKV8D016"",""WP_025736399.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium goodii],Mycolicibacterium goodii,301,301,99%,3e-101,69.31,266,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_073681212.1?report=genbank&log$=prottop&blast_rank=59&RID=96KRKV8D016"",""WP_073681212.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium],Mycolicibacterium,300,300,100%,3e-101,67.16,246,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_019343565.1?report=genbank&log$=prottop&blast_rank=60&RID=96KRKV8D016"",""WP_019343565.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium porcinum],Mycolicibacterium porcinum,301,301,100%,3e-101,66.67,276,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_276033453.1?report=genbank&log$=prottop&blast_rank=61&RID=96KRKV8D016"",""WP_276033453.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacteroides salmoniphilum],Mycobacteroides salmoniphilum,300,300,99%,3e-101,67.98,228,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_078324694.1?report=genbank&log$=prottop&blast_rank=62&RID=96KRKV8D016"",""WP_078324694.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium stellerae],Mycolicibacterium stellerae,300,300,99%,4e-101,68.32,248,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_123027784.1?report=genbank&log$=prottop&blast_rank=63&RID=96KRKV8D016"",""WP_123027784.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacteroides franklinii],Mycobacteroides franklinii,300,300,99%,4e-101,68.47,227,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_070937200.1?report=genbank&log$=prottop&blast_rank=64&RID=96KRKV8D016"",""WP_070937200.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium moriokaense],Mycolicibacterium moriokaense,301,301,99%,4e-101,68.32,258,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_234810178.1?report=genbank&log$=prottop&blast_rank=65&RID=96KRKV8D016"",""WP_234810178.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium celatum],Mycobacterium celatum,300,300,99%,4e-101,69.31,237,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_062538229.1?report=genbank&log$=prottop&blast_rank=66&RID=96KRKV8D016"",""WP_062538229.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium heckeshornense],Mycobacterium heckeshornense,300,300,99%,4e-101,68.32,253,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_048891436.1?report=genbank&log$=prottop&blast_rank=67&RID=96KRKV8D016"",""WP_048891436.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium smegmatis],Mycolicibacterium smegmatis,301,301,99%,5e-101,69.80,264,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_011731175.1?report=genbank&log$=prottop&blast_rank=68&RID=96KRKV8D016"",""WP_011731175.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium triplex],Mycobacterium triplex,300,300,99%,5e-101,68.81,253,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_036465222.1?report=genbank&log$=prottop&blast_rank=69&RID=96KRKV8D016"",""WP_036465222.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium talmoniae],Mycobacterium talmoniae,300,300,99%,5e-101,69.31,253,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_194074079.1?report=genbank&log$=prottop&blast_rank=70&RID=96KRKV8D016"",""WP_194074079.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium vinylchloridicum],Mycolicibacterium vinylchloridicum,300,300,100%,6e-101,67.65,251,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_179474165.1?report=genbank&log$=prottop&blast_rank=71&RID=96KRKV8D016"",""WP_179474165.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacillus parakoreensis],Mycolicibacillus parakoreensis,299,299,100%,7e-101,69.61,241,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_240171334.1?report=genbank&log$=prottop&blast_rank=72&RID=96KRKV8D016"",""WP_240171334.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium tusciae],Mycolicibacterium tusciae,300,300,99%,7e-101,69.80,254,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_207568615.1?report=genbank&log$=prottop&blast_rank=73&RID=96KRKV8D016"",""WP_207568615.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium gadium],Mycolicibacterium gadium,300,300,99%,8e-101,69.80,254,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_179964822.1?report=genbank&log$=prottop&blast_rank=74&RID=96KRKV8D016"",""WP_179964822.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium conspicuum],Mycobacterium conspicuum,299,299,99%,1e-100,66.34,244,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_085235798.1?report=genbank&log$=prottop&blast_rank=75&RID=96KRKV8D016"",""WP_085235798.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium kyorinense],Mycobacterium kyorinense,298,298,99%,1e-100,68.81,237,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_045376037.1?report=genbank&log$=prottop&blast_rank=76&RID=96KRKV8D016"",""WP_045376037.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium],Mycobacterium,299,299,99%,1e-100,67.33,253,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_020785288.1?report=genbank&log$=prottop&blast_rank=77&RID=96KRKV8D016"",""WP_020785288.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium sarraceniae],Mycolicibacterium sarraceniae,299,299,100%,1e-100,68.14,251,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_163701781.1?report=genbank&log$=prottop&blast_rank=78&RID=96KRKV8D016"",""WP_163701781.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium ulcerans group],Mycobacterium ulcerans group,299,299,99%,1e-100,67.33,253,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_181005661.1?report=genbank&log$=prottop&blast_rank=79&RID=96KRKV8D016"",""WP_181005661.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Candidatus Mycobacterium methanotrophicum],Candidatus Mycobacterium methanotrophicum,299,299,99%,1e-100,68.32,254,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_219066940.1?report=genbank&log$=prottop&blast_rank=80&RID=96KRKV8D016"",""WP_219066940.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium boenickei],Mycolicibacterium boenickei,299,299,100%,2e-100,66.18,260,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_077738552.1?report=genbank&log$=prottop&blast_rank=81&RID=96KRKV8D016"",""WP_077738552.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium marinum],Mycobacterium marinum,299,299,99%,2e-100,67.33,253,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_181005854.1?report=genbank&log$=prottop&blast_rank=82&RID=96KRKV8D016"",""WP_181005854.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium llatzerense],Mycolicibacterium llatzerense,298,298,100%,2e-100,66.67,231,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_043985567.1?report=genbank&log$=prottop&blast_rank=83&RID=96KRKV8D016"",""WP_043985567.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium fortuitum],Mycolicibacterium fortuitum,299,299,100%,2e-100,66.18,266,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_102133914.1?report=genbank&log$=prottop&blast_rank=84&RID=96KRKV8D016"",""WP_102133914.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium scrofulaceum],Mycobacterium scrofulaceum,298,298,100%,3e-100,67.65,254,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_083179805.1?report=genbank&log$=prottop&blast_rank=85&RID=96KRKV8D016"",""WP_083179805.1"")"
