Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium pulveris],Mycolicibacterium pulveris,371,371,100%,3e-129,85.78,249,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_163900928.1?report=genbank&log$=prottop&blast_rank=11&RID=96KS83JX016"",""WP_163900928.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium],Mycolicibacterium,370,370,99%,6e-129,86.63,246,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_011782648.1?report=genbank&log$=prottop&blast_rank=12&RID=96KS83JX016"",""WP_011782648.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [[Mycobacterium] fortunisiensis],[Mycobacterium] fortunisiensis,371,371,99%,9e-129,86.21,269,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_218046190.1?report=genbank&log$=prottop&blast_rank=13&RID=96KS83JX016"",""WP_218046190.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium neworleansense],Mycolicibacterium neworleansense,370,370,99%,1e-128,85.64,249,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_162839254.1?report=genbank&log$=prottop&blast_rank=14&RID=96KS83JX016"",""WP_162839254.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium],Mycolicibacterium,370,370,99%,1e-128,86.14,246,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_019343565.1?report=genbank&log$=prottop&blast_rank=15&RID=96KS83JX016"",""WP_019343565.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium elephantis],Mycolicibacterium elephantis,369,369,100%,2e-128,85.78,249,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_064891348.1?report=genbank&log$=prottop&blast_rank=16&RID=96KS83JX016"",""WP_064891348.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium alvei],Mycolicibacterium alvei,370,370,99%,2e-128,85.64,265,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_163670166.1?report=genbank&log$=prottop&blast_rank=17&RID=96KS83JX016"",""WP_163670166.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium],Mycolicibacterium,369,369,99%,2e-128,85.22,242,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_044521370.1?report=genbank&log$=prottop&blast_rank=18&RID=96KS83JX016"",""WP_044521370.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium litorale],Mycolicibacterium litorale,369,369,99%,3e-128,84.24,251,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_134057035.1?report=genbank&log$=prottop&blast_rank=19&RID=96KS83JX016"",""WP_134057035.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium porcinum],Mycolicibacterium porcinum,370,370,99%,3e-128,85.15,276,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_276033453.1?report=genbank&log$=prottop&blast_rank=20&RID=96KS83JX016"",""WP_276033453.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium],Mycobacterium,369,369,99%,3e-128,85.64,246,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_070946096.1?report=genbank&log$=prottop&blast_rank=21&RID=96KS83JX016"",""WP_070946096.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium doricum],Mycolicibacterium doricum,369,369,99%,4e-128,83.74,251,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_085191952.1?report=genbank&log$=prottop&blast_rank=22&RID=96KS83JX016"",""WP_085191952.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium setense],Mycolicibacterium setense,369,369,99%,5e-128,85.22,264,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_039326017.1?report=genbank&log$=prottop&blast_rank=23&RID=96KS83JX016"",""WP_039326017.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium monacense],Mycolicibacterium monacense,368,368,99%,7e-128,84.24,251,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_011562281.1?report=genbank&log$=prottop&blast_rank=24&RID=96KS83JX016"",""WP_011562281.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium mengxianglii],Mycolicibacterium mengxianglii,368,368,99%,7e-128,85.71,247,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_232375218.1?report=genbank&log$=prottop&blast_rank=25&RID=96KS83JX016"",""WP_232375218.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium peregrinum],Mycolicibacterium peregrinum,368,368,99%,8e-128,84.73,249,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_055118364.1?report=genbank&log$=prottop&blast_rank=26&RID=96KS83JX016"",""WP_055118364.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium holsaticum],Mycolicibacterium holsaticum,367,367,100%,1e-127,84.80,249,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_069404981.1?report=genbank&log$=prottop&blast_rank=27&RID=96KS83JX016"",""WP_069404981.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium boenickei],Mycolicibacterium boenickei,368,368,99%,1e-127,85.15,260,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_077738552.1?report=genbank&log$=prottop&blast_rank=28&RID=96KS83JX016"",""WP_077738552.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium agri],Mycolicibacterium agri,367,367,100%,1e-127,83.82,248,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_097940217.1?report=genbank&log$=prottop&blast_rank=29&RID=96KS83JX016"",""WP_097940217.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium conceptionense],Mycolicibacterium conceptionense,367,367,99%,2e-127,85.64,246,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_085140862.1?report=genbank&log$=prottop&blast_rank=30&RID=96KS83JX016"",""WP_085140862.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium baixiangningiae],Mycolicibacterium baixiangningiae,367,367,99%,2e-127,84.24,246,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_193046759.1?report=genbank&log$=prottop&blast_rank=31&RID=96KS83JX016"",""WP_193046759.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium riyadhense],Mycobacterium riyadhense,367,367,100%,2e-127,85.29,253,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_085252804.1?report=genbank&log$=prottop&blast_rank=32&RID=96KS83JX016"",""WP_085252804.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium fortuitum],Mycolicibacterium fortuitum,367,367,99%,3e-127,85.15,266,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_102133914.1?report=genbank&log$=prottop&blast_rank=33&RID=96KS83JX016"",""WP_102133914.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium xanthum],Mycolicibacterium xanthum,366,366,99%,3e-127,83.66,249,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_221367869.1?report=genbank&log$=prottop&blast_rank=34&RID=96KS83JX016"",""WP_221367869.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium conspicuum],Mycobacterium conspicuum,366,366,100%,4e-127,83.33,244,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_085235798.1?report=genbank&log$=prottop&blast_rank=35&RID=96KS83JX016"",""WP_085235798.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium stellerae],Mycolicibacterium stellerae,366,366,100%,5e-127,82.35,248,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_123027784.1?report=genbank&log$=prottop&blast_rank=36&RID=96KS83JX016"",""WP_123027784.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium vaccae],Mycolicibacterium vaccae,365,365,99%,6e-127,85.15,246,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_040542071.1?report=genbank&log$=prottop&blast_rank=37&RID=96KS83JX016"",""WP_040542071.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium simulans],Mycobacterium simulans,364,364,100%,2e-126,84.80,253,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186245201.1?report=genbank&log$=prottop&blast_rank=38&RID=96KS83JX016"",""WP_186245201.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium lutetiense],Mycolicibacterium lutetiense,365,365,99%,4e-126,84.16,277,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_234939011.1?report=genbank&log$=prottop&blast_rank=39&RID=96KS83JX016"",""WP_234939011.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium intermedium],Mycobacterium intermedium,362,362,100%,2e-125,84.31,253,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_197518072.1?report=genbank&log$=prottop&blast_rank=40&RID=96KS83JX016"",""WP_197518072.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium bourgelatii],Mycobacterium bourgelatii,362,362,100%,2e-125,84.31,253,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_205351523.1?report=genbank&log$=prottop&blast_rank=41&RID=96KS83JX016"",""WP_205351523.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium hippocampi],Mycolicibacterium hippocampi,362,362,99%,2e-125,83.66,251,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_163895319.1?report=genbank&log$=prottop&blast_rank=42&RID=96KS83JX016"",""WP_163895319.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium triplex],Mycobacterium triplex,362,362,100%,2e-125,82.35,253,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_036465222.1?report=genbank&log$=prottop&blast_rank=43&RID=96KS83JX016"",""WP_036465222.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium genavense],Mycobacterium genavense,361,361,100%,3e-125,81.86,240,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_025736399.1?report=genbank&log$=prottop&blast_rank=44&RID=96KS83JX016"",""WP_025736399.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium cosmeticum],Mycolicibacterium cosmeticum,360,360,99%,5e-125,83.66,239,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_234709605.1?report=genbank&log$=prottop&blast_rank=45&RID=96KS83JX016"",""WP_234709605.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium hackensackense],Mycobacterium hackensackense,360,360,99%,5e-125,83.17,245,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_276065502.1?report=genbank&log$=prottop&blast_rank=46&RID=96KS83JX016"",""WP_276065502.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium hassiacum],Mycolicibacterium hassiacum,360,360,99%,8e-125,82.27,237,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_232020145.1?report=genbank&log$=prottop&blast_rank=47&RID=96KS83JX016"",""WP_232020145.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium pyrenivorans],Mycolicibacterium pyrenivorans,360,360,99%,8e-125,83.17,233,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_264025077.1?report=genbank&log$=prottop&blast_rank=48&RID=96KS83JX016"",""WP_264025077.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium phlei],Mycolicibacterium phlei,359,359,100%,2e-124,82.84,249,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_003888678.1?report=genbank&log$=prottop&blast_rank=49&RID=96KS83JX016"",""WP_003888678.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium celeriflavum],Mycolicibacterium celeriflavum,359,359,100%,2e-124,83.82,248,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_109749374.1?report=genbank&log$=prottop&blast_rank=50&RID=96KS83JX016"",""WP_109749374.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium ahvazicum],Mycobacterium ahvazicum,359,359,100%,3e-124,80.88,253,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_243394203.1?report=genbank&log$=prottop&blast_rank=51&RID=96KS83JX016"",""WP_243394203.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium canariasense],Mycolicibacterium canariasense,358,358,99%,3e-124,83.17,231,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_062660247.1?report=genbank&log$=prottop&blast_rank=52&RID=96KS83JX016"",""WP_062660247.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium fluoranthenivorans],Mycolicibacterium fluoranthenivorans,359,359,99%,3e-124,82.67,251,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_187097249.1?report=genbank&log$=prottop&blast_rank=53&RID=96KS83JX016"",""WP_187097249.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium celatum],Mycobacterium celatum,358,358,100%,3e-124,82.35,237,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_062538229.1?report=genbank&log$=prottop&blast_rank=54&RID=96KS83JX016"",""WP_062538229.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium branderi],Mycobacterium branderi,358,358,100%,3e-124,82.35,241,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_083134511.1?report=genbank&log$=prottop&blast_rank=55&RID=96KS83JX016"",""WP_083134511.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium kyorinense],Mycobacterium kyorinense,358,358,100%,3e-124,82.35,237,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_045376037.1?report=genbank&log$=prottop&blast_rank=56&RID=96KS83JX016"",""WP_045376037.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium paragordonae],Mycobacterium paragordonae,358,358,100%,4e-124,83.82,253,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_197748232.1?report=genbank&log$=prottop&blast_rank=57&RID=96KS83JX016"",""WP_197748232.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium rutilum],Mycolicibacterium rutilum,358,358,100%,5e-124,82.84,249,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_083410411.1?report=genbank&log$=prottop&blast_rank=58&RID=96KS83JX016"",""WP_083410411.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium shinjukuense],Mycobacterium shinjukuense,358,358,100%,8e-124,82.84,253,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_083048897.1?report=genbank&log$=prottop&blast_rank=59&RID=96KS83JX016"",""WP_083048897.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium vinylchloridicum],Mycolicibacterium vinylchloridicum,358,358,99%,9e-124,81.77,251,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_179474165.1?report=genbank&log$=prottop&blast_rank=60&RID=96KS83JX016"",""WP_179474165.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium vicinigordonae],Mycobacterium vicinigordonae,357,357,100%,2e-123,82.84,257,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_180915795.1?report=genbank&log$=prottop&blast_rank=61&RID=96KS83JX016"",""WP_180915795.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium montefiorense],Mycobacterium montefiorense,357,357,100%,2e-123,81.86,253,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_201263390.1?report=genbank&log$=prottop&blast_rank=62&RID=96KS83JX016"",""WP_201263390.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium lentiflavum],Mycobacterium lentiflavum,357,357,100%,2e-123,80.39,253,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_239721436.1?report=genbank&log$=prottop&blast_rank=63&RID=96KS83JX016"",""WP_239721436.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium novocastrense],Mycolicibacterium novocastrense,357,357,100%,3e-123,82.84,257,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_064416136.1?report=genbank&log$=prottop&blast_rank=64&RID=96KS83JX016"",""WP_064416136.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium asiaticum],Mycobacterium asiaticum,357,357,100%,3e-123,83.33,256,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_036362724.1?report=genbank&log$=prottop&blast_rank=65&RID=96KS83JX016"",""WP_036362724.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium cookii],Mycobacterium cookii,356,356,99%,3e-123,82.27,243,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_163781813.1?report=genbank&log$=prottop&blast_rank=66&RID=96KS83JX016"",""WP_163781813.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium],Mycolicibacterium,356,356,99%,3e-123,82.76,249,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_068914555.1?report=genbank&log$=prottop&blast_rank=67&RID=96KS83JX016"",""WP_068914555.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium attenuatum],Mycobacterium attenuatum,356,356,100%,4e-123,82.84,255,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_211186547.1?report=genbank&log$=prottop&blast_rank=68&RID=96KS83JX016"",""WP_211186547.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium malmesburyense],Mycolicibacterium malmesburyense,356,356,100%,5e-123,82.35,257,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_194946091.1?report=genbank&log$=prottop&blast_rank=69&RID=96KS83JX016"",""WP_194946091.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium kansasii],Mycobacterium kansasii,356,356,100%,5e-123,82.84,255,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_023368719.1?report=genbank&log$=prottop&blast_rank=70&RID=96KS83JX016"",""WP_023368719.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium lehmannii],Mycobacterium lehmannii,355,355,100%,9e-123,82.35,257,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_064397888.1?report=genbank&log$=prottop&blast_rank=71&RID=96KS83JX016"",""WP_064397888.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium neumannii],Mycobacterium neumannii,355,355,100%,1e-122,82.35,257,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_202931418.1?report=genbank&log$=prottop&blast_rank=72&RID=96KS83JX016"",""WP_202931418.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium komanii],Mycolicibacterium komanii,355,355,100%,2e-122,81.37,257,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_207384000.1?report=genbank&log$=prottop&blast_rank=73&RID=96KS83JX016"",""WP_207384000.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium florentinum],Mycobacterium florentinum,355,355,100%,2e-122,79.90,257,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_197747365.1?report=genbank&log$=prottop&blast_rank=74&RID=96KS83JX016"",""WP_197747365.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium malmoense],Mycobacterium malmoense,354,354,100%,2e-122,81.37,257,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_217808414.1?report=genbank&log$=prottop&blast_rank=75&RID=96KS83JX016"",""WP_217808414.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium lacus],Mycobacterium lacus,354,354,100%,2e-122,82.35,251,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_197743100.1?report=genbank&log$=prottop&blast_rank=76&RID=96KS83JX016"",""WP_197743100.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium persicum],Mycobacterium persicum,354,354,100%,2e-122,82.35,260,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_075546871.1?report=genbank&log$=prottop&blast_rank=77&RID=96KS83JX016"",""WP_075546871.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium shimoidei],Mycobacterium shimoidei,354,354,100%,2e-122,81.37,256,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_113963354.1?report=genbank&log$=prottop&blast_rank=78&RID=96KS83JX016"",""WP_113963354.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Candidatus Mycobacterium methanotrophicum],Candidatus Mycobacterium methanotrophicum,354,354,100%,2e-122,81.37,254,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_219066940.1?report=genbank&log$=prottop&blast_rank=79&RID=96KS83JX016"",""WP_219066940.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium sediminis],Mycolicibacterium sediminis,353,353,100%,3e-122,82.35,245,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_163801385.1?report=genbank&log$=prottop&blast_rank=80&RID=96KS83JX016"",""WP_163801385.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium pseudokansasii],Mycobacterium pseudokansasii,354,354,100%,4e-122,81.86,257,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_036405585.1?report=genbank&log$=prottop&blast_rank=81&RID=96KS83JX016"",""WP_036405585.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium gadium],Mycolicibacterium gadium,353,353,100%,4e-122,80.88,254,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_179964822.1?report=genbank&log$=prottop&blast_rank=82&RID=96KS83JX016"",""WP_179964822.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium gordonae],Mycobacterium gordonae,353,353,100%,4e-122,80.88,253,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_197521981.1?report=genbank&log$=prottop&blast_rank=83&RID=96KS83JX016"",""WP_197521981.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacterium talmoniae],Mycobacterium talmoniae,353,353,100%,5e-122,81.86,253,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_194074079.1?report=genbank&log$=prottop&blast_rank=84&RID=96KS83JX016"",""WP_194074079.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycolicibacterium psychrotolerans],Mycolicibacterium psychrotolerans,353,353,99%,5e-122,82.18,249,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_163721106.1?report=genbank&log$=prottop&blast_rank=85&RID=96KS83JX016"",""WP_163721106.1"")"
Rv3717 family N-acetylmuramoyl-L-alanine amidase [Mycobacteriaceae],Mycobacteriaceae,353,353,99%,6e-122,82.67,247,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_046365288.1?report=genbank&log$=prottop&blast_rank=86&RID=96KS83JX016"",""WP_046365288.1"")"
