Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
N-acetylmuramoyl-L-alanine amidase [Petrachloros mirabilis],Petrachloros mirabilis,119,119,98%,2e-29,37.70,321,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_238718396.1?report=genbank&log$=prottop&blast_rank=28&RID=96M6DB4W016"",""WP_238718396.1"")"
N-acetylmuramoyl-L-alanine amidase [Clostridium aestuarii],Clostridium aestuarii,117,117,89%,2e-29,44.79,268,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_268042483.1?report=genbank&log$=prottop&blast_rank=29&RID=96M6DB4W016"",""WP_268042483.1"")"
N-acetylmuramoyl-L-alanine amidase [Robertmurraya siralis],Robertmurraya siralis,120,120,100%,3e-29,39.13,465,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_137744761.1?report=genbank&log$=prottop&blast_rank=30&RID=96M6DB4W016"",""WP_137744761.1"")"
N-acetylmuramoyl-L-alanine amidase [Apilactobacillus timberlakei],Apilactobacillus timberlakei,117,117,98%,3e-29,39.67,288,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_105988017.1?report=genbank&log$=prottop&blast_rank=31&RID=96M6DB4W016"",""WP_105988017.1"")"
N-acetylmuramoyl-L-alanine amidase [Apilactobacillus micheneri],Apilactobacillus micheneri,117,117,99%,4e-29,40.00,288,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_140936216.1?report=genbank&log$=prottop&blast_rank=32&RID=96M6DB4W016"",""WP_140936216.1"")"
N-acetylmuramoyl-L-alanine amidase [Kroppenstedtia guangzhouensis],Kroppenstedtia guangzhouensis,116,116,98%,5e-29,39.57,263,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_188429080.1?report=genbank&log$=prottop&blast_rank=33&RID=96M6DB4W016"",""WP_188429080.1"")"
N-acetylmuramoyl-L-alanine amidase [Falsibacillus pallidus],Falsibacillus pallidus,119,119,100%,6e-29,39.57,474,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_158538407.1?report=genbank&log$=prottop&blast_rank=34&RID=96M6DB4W016"",""WP_158538407.1"")"
N-acetylmuramoyl-L-alanine amidase [Estrella lausannensis],Estrella lausannensis,116,116,99%,6e-29,38.92,266,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_098038950.1?report=genbank&log$=prottop&blast_rank=35&RID=96M6DB4W016"",""WP_098038950.1"")"
N-acetylmuramoyl-L-alanine amidase [Mahella australiensis],Mahella australiensis,115,115,97%,8e-29,38.67,244,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_013781199.1?report=genbank&log$=prottop&blast_rank=36&RID=96M6DB4W016"",""WP_013781199.1"")"
N-acetylmuramoyl-L-alanine amidase [Lihuaxuella thermophila],Lihuaxuella thermophila,115,115,98%,1e-28,39.56,261,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_089965642.1?report=genbank&log$=prottop&blast_rank=37&RID=96M6DB4W016"",""WP_089965642.1"")"
N-acetylmuramoyl-L-alanine amidase [Metabacillus iocasae],Metabacillus iocasae,119,119,90%,2e-28,41.57,484,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_205188004.1?report=genbank&log$=prottop&blast_rank=38&RID=96M6DB4W016"",""WP_205188004.1"")"
N-acetylmuramoyl-L-alanine amidase [Romboutsia maritimum],Romboutsia maritimum,118,118,98%,2e-28,40.00,433,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_115975870.1?report=genbank&log$=prottop&blast_rank=39&RID=96M6DB4W016"",""WP_115975870.1"")"
N-acetylmuramoyl-L-alanine amidase [Novibacillus thermophilus],Novibacillus thermophilus,114,114,100%,2e-28,39.47,261,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_077720649.1?report=genbank&log$=prottop&blast_rank=40&RID=96M6DB4W016"",""WP_077720649.1"")"
N-acetylmuramoyl-L-alanine amidase [Candidatus Protochlamydia],Candidatus Protochlamydia,115,115,100%,2e-28,35.68,280,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_011174865.1?report=genbank&log$=prottop&blast_rank=41&RID=96M6DB4W016"",""WP_011174865.1"")"
N-acetylmuramoyl-L-alanine amidase [Kroppenstedtia eburnea],Kroppenstedtia eburnea,114,114,98%,2e-28,38.50,263,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_009708896.1?report=genbank&log$=prottop&blast_rank=42&RID=96M6DB4W016"",""WP_009708896.1"")"
N-acetylmuramoyl-L-alanine amidase [Paludifilum halophilum],Paludifilum halophilum,114,114,98%,3e-28,39.01,262,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_094263098.1?report=genbank&log$=prottop&blast_rank=43&RID=96M6DB4W016"",""WP_094263098.1"")"
N-acetylmuramoyl-L-alanine amidase [Lactiplantibacillus nangangensis],Lactiplantibacillus nangangensis,114,114,90%,3e-28,38.92,282,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_137616607.1?report=genbank&log$=prottop&blast_rank=44&RID=96M6DB4W016"",""WP_137616607.1"")"
N-acetylmuramoyl-L-alanine amidase [Domibacillus antri],Domibacillus antri,118,118,100%,3e-28,39.67,476,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_075396961.1?report=genbank&log$=prottop&blast_rank=45&RID=96M6DB4W016"",""WP_075396961.1"")"
N-acetylmuramoyl-L-alanine amidase [Marininema mesophilum],Marininema mesophilum,114,114,98%,3e-28,38.46,267,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_245726269.1?report=genbank&log$=prottop&blast_rank=46&RID=96M6DB4W016"",""WP_245726269.1"")"
N-acetylmuramoyl-L-alanine amidase [Domibacillus robiginosus],Domibacillus robiginosus,117,117,100%,3e-28,38.04,463,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_050183339.1?report=genbank&log$=prottop&blast_rank=47&RID=96M6DB4W016"",""WP_050183339.1"")"
N-acetylmuramoyl-L-alanine amidase [Numidum massiliense],Numidum massiliense,114,114,98%,4e-28,38.46,261,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_074011071.1?report=genbank&log$=prottop&blast_rank=48&RID=96M6DB4W016"",""WP_074011071.1"")"
N-acetylmuramoyl-L-alanine amidase [Spirulina major],Spirulina major,117,117,98%,4e-28,36.61,471,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_072622619.1?report=genbank&log$=prottop&blast_rank=49&RID=96M6DB4W016"",""WP_072622619.1"")"
N-acetylmuramoyl-L-alanine amidase [Savagea serpentis],Savagea serpentis,118,118,98%,5e-28,40.33,549,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_194562579.1?report=genbank&log$=prottop&blast_rank=50&RID=96M6DB4W016"",""WP_194562579.1"")"
N-acetylmuramoyl-L-alanine amidase [Alkalihalobacillus patagoniensis],Alkalihalobacillus patagoniensis,114,114,98%,5e-28,35.36,279,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_078394124.1?report=genbank&log$=prottop&blast_rank=51&RID=96M6DB4W016"",""WP_078394124.1"")"
N-acetylmuramoyl-L-alanine amidase [Candidatus Protochlamydia naegleriophila],Candidatus Protochlamydia naegleriophila,114,114,100%,5e-28,38.17,269,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_051981857.1?report=genbank&log$=prottop&blast_rank=52&RID=96M6DB4W016"",""WP_051981857.1"")"
N-acetylmuramoyl-L-alanine amidase [Thermoflavimicrobium daqui],Thermoflavimicrobium daqui,112,112,98%,5e-28,39.89,198,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_113657626.1?report=genbank&log$=prottop&blast_rank=53&RID=96M6DB4W016"",""WP_113657626.1"")"
N-acetylmuramoyl-L-alanine amidase [Bacillus aerolatus],Bacillus aerolatus,117,117,95%,7e-28,39.34,472,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_152150407.1?report=genbank&log$=prottop&blast_rank=54&RID=96M6DB4W016"",""WP_152150407.1"")"
N-acetylmuramoyl-L-alanine amidase [Bacillus oleivorans],Bacillus oleivorans,117,117,100%,8e-28,36.22,533,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_245855555.1?report=genbank&log$=prottop&blast_rank=55&RID=96M6DB4W016"",""WP_245855555.1"")"
N-acetylmuramoyl-L-alanine amidase [Bacillus xiapuensis],Bacillus xiapuensis,116,116,100%,1e-27,39.13,489,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_232713533.1?report=genbank&log$=prottop&blast_rank=56&RID=96M6DB4W016"",""WP_232713533.1"")"
N-acetylmuramoyl-L-alanine amidase [Pediococcus acidilactici],Pediococcus acidilactici,113,113,100%,1e-27,36.41,289,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_036685239.1?report=genbank&log$=prottop&blast_rank=57&RID=96M6DB4W016"",""WP_036685239.1"")"
N-acetylmuramoyl-L-alanine amidase [Seinonella peptonophila],Seinonella peptonophila,110,110,98%,1e-27,38.04,184,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_073150402.1?report=genbank&log$=prottop&blast_rank=58&RID=96M6DB4W016"",""WP_073150402.1"")"
N-acetylmuramoyl-L-alanine amidase [Filibacter tadaridae],Filibacter tadaridae,116,116,100%,2e-27,37.50,495,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_238988110.1?report=genbank&log$=prottop&blast_rank=59&RID=96M6DB4W016"",""WP_238988110.1"")"
N-acetylmuramoyl-L-alanine amidase [Bacillus wudalianchiensis],Bacillus wudalianchiensis,116,116,100%,2e-27,39.46,501,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_245671046.1?report=genbank&log$=prottop&blast_rank=60&RID=96M6DB4W016"",""WP_245671046.1"")"
N-acetylmuramoyl-L-alanine amidase [Bacillus],Bacillus,112,112,100%,2e-27,38.50,252,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_012117610.1?report=genbank&log$=prottop&blast_rank=61&RID=96M6DB4W016"",""WP_012117610.1"")"
N-acetylmuramoyl-L-alanine amidase [Virgibacillus siamensis],Virgibacillus siamensis,113,113,99%,2e-27,39.56,323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_077328416.1?report=genbank&log$=prottop&blast_rank=62&RID=96M6DB4W016"",""WP_077328416.1"")"
N-acetylmuramoyl-L-alanine amidase [Salsuginibacillus halophilus],Salsuginibacillus halophilus,116,116,100%,2e-27,35.71,527,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_106588089.1?report=genbank&log$=prottop&blast_rank=63&RID=96M6DB4W016"",""WP_106588089.1"")"
N-acetylmuramoyl-L-alanine amidase [Planifilum fulgidum],Planifilum fulgidum,112,112,98%,2e-27,40.66,260,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_092041253.1?report=genbank&log$=prottop&blast_rank=64&RID=96M6DB4W016"",""WP_092041253.1"")"
N-acetylmuramoyl-L-alanine amidase [Bacillus],Bacillus,111,111,100%,2e-27,38.50,252,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_022553310.1?report=genbank&log$=prottop&blast_rank=65&RID=96M6DB4W016"",""WP_022553310.1"")"
N-acetylmuramoyl-L-alanine amidase [Apilactobacillus apisilvae],Apilactobacillus apisilvae,112,112,98%,2e-27,39.56,288,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_249510742.1?report=genbank&log$=prottop&blast_rank=66&RID=96M6DB4W016"",""WP_249510742.1"")"
N-acetylmuramoyl-L-alanine amidase [Falsibacillus albus],Falsibacillus albus,115,115,100%,3e-27,37.84,473,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_233569717.1?report=genbank&log$=prottop&blast_rank=67&RID=96M6DB4W016"",""WP_233569717.1"")"
N-acetylmuramoyl-L-alanine amidase [Bacillus testis],Bacillus testis,115,115,100%,3e-27,39.67,471,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_050616547.1?report=genbank&log$=prottop&blast_rank=68&RID=96M6DB4W016"",""WP_050616547.1"")"
N-acetylmuramoyl-L-alanine amidase [Candidatus Protochlamydia phocaeensis],Candidatus Protochlamydia phocaeensis,111,111,100%,3e-27,37.10,247,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_068468979.1?report=genbank&log$=prottop&blast_rank=69&RID=96M6DB4W016"",""WP_068468979.1"")"
N-acetylmuramoyl-L-alanine amidase [Domibacillus mangrovi],Domibacillus mangrovi,115,115,100%,3e-27,37.70,473,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_083566315.1?report=genbank&log$=prottop&blast_rank=70&RID=96M6DB4W016"",""WP_083566315.1"")"
N-acetylmuramoyl-L-alanine amidase [Desmospora activa],Desmospora activa,111,111,98%,3e-27,36.90,262,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_107725262.1?report=genbank&log$=prottop&blast_rank=71&RID=96M6DB4W016"",""WP_107725262.1"")"
N-acetylmuramoyl-L-alanine amidase [Lactiplantibacillus dongliensis],Lactiplantibacillus dongliensis,112,112,90%,4e-27,37.72,282,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_137640064.1?report=genbank&log$=prottop&blast_rank=72&RID=96M6DB4W016"",""WP_137640064.1"")"
N-acetylmuramoyl-L-alanine amidase [Paenisporosarcina indica],Paenisporosarcina indica,115,115,100%,4e-27,35.52,492,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_084543917.1?report=genbank&log$=prottop&blast_rank=73&RID=96M6DB4W016"",""WP_084543917.1"")"
N-acetylmuramoyl-L-alanine amidase [Liquorilactobacillus uvarum],Liquorilactobacillus uvarum,111,111,99%,4e-27,36.96,279,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_057736121.1?report=genbank&log$=prottop&blast_rank=74&RID=96M6DB4W016"",""WP_057736121.1"")"
N-acetylmuramoyl-L-alanine amidase [Desmospora activa],Desmospora activa,110,110,98%,4e-27,37.91,211,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_245891141.1?report=genbank&log$=prottop&blast_rank=75&RID=96M6DB4W016"",""WP_245891141.1"")"
N-acetylmuramoyl-L-alanine amidase [Lactiplantibacillus pingfangensis],Lactiplantibacillus pingfangensis,111,111,98%,5e-27,37.36,282,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_137625542.1?report=genbank&log$=prottop&blast_rank=76&RID=96M6DB4W016"",""WP_137625542.1"")"
N-acetylmuramoyl-L-alanine amidase [Robertmurraya siralis],Robertmurraya siralis,114,114,100%,5e-27,39.46,464,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_137743489.1?report=genbank&log$=prottop&blast_rank=77&RID=96M6DB4W016"",""WP_137743489.1"")"
N-acetylmuramoyl-L-alanine amidase [Anoxybacillus calidus],Anoxybacillus calidus,114,114,100%,5e-27,37.84,464,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_181537119.1?report=genbank&log$=prottop&blast_rank=78&RID=96M6DB4W016"",""WP_181537119.1"")"
N-acetylmuramoyl-L-alanine amidase [Luteolibacter luteus],Luteolibacter luteus,109,109,98%,5e-27,35.36,202,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_169456672.1?report=genbank&log$=prottop&blast_rank=79&RID=96M6DB4W016"",""WP_169456672.1"")"
N-acetylmuramoyl-L-alanine amidase [Levilactobacillus wangkuiensis],Levilactobacillus wangkuiensis,111,111,99%,5e-27,34.43,283,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_203638052.1?report=genbank&log$=prottop&blast_rank=80&RID=96M6DB4W016"",""WP_203638052.1"")"
N-acetylmuramoyl-L-alanine amidase [Levilactobacillus mulengensis],Levilactobacillus mulengensis,111,111,99%,5e-27,34.43,283,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_125762798.1?report=genbank&log$=prottop&blast_rank=81&RID=96M6DB4W016"",""WP_125762798.1"")"
N-acetylmuramoyl-L-alanine amidase [Alkalihalobacillus okhensis],Alkalihalobacillus okhensis,115,115,89%,5e-27,40.96,574,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_052144749.1?report=genbank&log$=prottop&blast_rank=82&RID=96M6DB4W016"",""WP_052144749.1"")"
N-acetylmuramoyl-L-alanine amidase [Levilactobacillus],Levilactobacillus,111,111,99%,6e-27,34.43,283,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_203645548.1?report=genbank&log$=prottop&blast_rank=83&RID=96M6DB4W016"",""WP_203645548.1"")"
N-acetylmuramoyl-L-alanine amidase [Kroppenstedtia pulmonis],Kroppenstedtia pulmonis,110,110,98%,6e-27,40.11,265,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_173221612.1?report=genbank&log$=prottop&blast_rank=84&RID=96M6DB4W016"",""WP_173221612.1"")"
N-acetylmuramoyl-L-alanine amidase [Pediococcus argentinicus],Pediococcus argentinicus,111,111,99%,6e-27,39.34,290,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_057797502.1?report=genbank&log$=prottop&blast_rank=85&RID=96M6DB4W016"",""WP_057797502.1"")"
N-acetylmuramoyl-L-alanine amidase [Bacillus infantis],Bacillus infantis,114,114,100%,6e-27,36.22,463,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_022544486.1?report=genbank&log$=prottop&blast_rank=86&RID=96M6DB4W016"",""WP_022544486.1"")"
N-acetylmuramoyl-L-alanine amidase [Apilactobacillus xinyiensis],Apilactobacillus xinyiensis,111,111,100%,7e-27,36.41,290,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_220751430.1?report=genbank&log$=prottop&blast_rank=87&RID=96M6DB4W016"",""WP_220751430.1"")"
N-acetylmuramoyl-L-alanine amidase [Pediococcus cellicola],Pediococcus cellicola,111,111,98%,7e-27,37.36,288,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_057747932.1?report=genbank&log$=prottop&blast_rank=88&RID=96M6DB4W016"",""WP_057747932.1"")"
N-acetylmuramoyl-L-alanine amidase [Bacillus thermotolerans],Bacillus thermotolerans,113,113,100%,7e-27,37.84,409,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_039238462.1?report=genbank&log$=prottop&blast_rank=89&RID=96M6DB4W016"",""WP_039238462.1"")"
N-acetylmuramoyl-L-alanine amidase [Acaryochloris thomasi],Acaryochloris thomasi,112,112,98%,8e-27,36.07,347,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_233501895.1?report=genbank&log$=prottop&blast_rank=90&RID=96M6DB4W016"",""WP_233501895.1"")"
N-acetylmuramoyl-L-alanine amidase [Levilactobacillus angrenensis],Levilactobacillus angrenensis,110,110,99%,9e-27,35.52,283,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_125575867.1?report=genbank&log$=prottop&blast_rank=91&RID=96M6DB4W016"",""WP_125575867.1"")"
