Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
N-acetylmuramoyl-L-alanine amidase [Staphylococcus pseudoxylosus],Staphylococcus pseudoxylosus,276,276,99%,1e-91,75.29,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_122062453.1?report=genbank&log$=prottop&blast_rank=11&RID=96KTNVR7013"",""WP_122062453.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus warneri],Staphylococcus warneri,276,276,100%,2e-91,74.86,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_058709534.1?report=genbank&log$=prottop&blast_rank=12&RID=96KTNVR7013"",""WP_058709534.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus xylosus],Staphylococcus xylosus,276,276,99%,3e-91,75.29,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_038678688.1?report=genbank&log$=prottop&blast_rank=13&RID=96KTNVR7013"",""WP_038678688.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus caeli],Staphylococcus caeli,275,275,99%,5e-91,75.86,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_069996277.1?report=genbank&log$=prottop&blast_rank=14&RID=96KTNVR7013"",""WP_069996277.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus lloydii],Staphylococcus lloydii,275,275,99%,5e-91,75.29,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_048793514.1?report=genbank&log$=prottop&blast_rank=15&RID=96KTNVR7013"",""WP_048793514.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus shinii],Staphylococcus shinii,274,274,99%,9e-91,74.71,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_039068304.1?report=genbank&log$=prottop&blast_rank=16&RID=96KTNVR7013"",""WP_039068304.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus cohnii],Staphylococcus cohnii,274,274,99%,1e-90,75.29,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_019469428.1?report=genbank&log$=prottop&blast_rank=17&RID=96KTNVR7013"",""WP_019469428.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus nepalensis],Staphylococcus nepalensis,273,273,99%,2e-90,75.29,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_096809328.1?report=genbank&log$=prottop&blast_rank=18&RID=96KTNVR7013"",""WP_096809328.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus petrasii],Staphylococcus petrasii,273,273,100%,3e-90,73.14,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_103366169.1?report=genbank&log$=prottop&blast_rank=19&RID=96KTNVR7013"",""WP_103366169.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus],Staphylococcus,273,273,99%,5e-90,74.14,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_064208877.1?report=genbank&log$=prottop&blast_rank=20&RID=96KTNVR7013"",""WP_064208877.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus gallinarum],Staphylococcus gallinarum,271,271,99%,1e-89,74.71,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_229367258.1?report=genbank&log$=prottop&blast_rank=21&RID=96KTNVR7013"",""WP_229367258.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus],Staphylococcus,271,271,100%,1e-89,72.57,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_126567036.1?report=genbank&log$=prottop&blast_rank=22&RID=96KTNVR7013"",""WP_126567036.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus devriesei],Staphylococcus devriesei,271,271,100%,1e-89,72.57,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_103166581.1?report=genbank&log$=prottop&blast_rank=23&RID=96KTNVR7013"",""WP_103166581.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus croceilyticus],Staphylococcus croceilyticus,271,271,100%,2e-89,73.14,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_103328446.1?report=genbank&log$=prottop&blast_rank=24&RID=96KTNVR7013"",""WP_103328446.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus],Staphylococcus,270,270,100%,4e-89,72.00,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_107508292.1?report=genbank&log$=prottop&blast_rank=25&RID=96KTNVR7013"",""WP_107508292.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus kloosii],Staphylococcus kloosii,270,270,99%,6e-89,74.71,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_061854511.1?report=genbank&log$=prottop&blast_rank=26&RID=96KTNVR7013"",""WP_061854511.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus],Staphylococcus,270,270,99%,7e-89,74.14,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_075339790.1?report=genbank&log$=prottop&blast_rank=27&RID=96KTNVR7013"",""WP_075339790.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus],Staphylococcus,269,269,99%,1e-88,72.41,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_103387845.1?report=genbank&log$=prottop&blast_rank=28&RID=96KTNVR7013"",""WP_103387845.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus succinus],Staphylococcus succinus,269,269,99%,1e-88,75.29,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_073504274.1?report=genbank&log$=prottop&blast_rank=29&RID=96KTNVR7013"",""WP_073504274.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus],Staphylococcus,268,268,100%,2e-88,77.71,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_002436126.1?report=genbank&log$=prottop&blast_rank=30&RID=96KTNVR7013"",""WP_002436126.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus],Staphylococcus,268,268,100%,2e-88,72.00,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_002481115.1?report=genbank&log$=prottop&blast_rank=31&RID=96KTNVR7013"",""WP_002481115.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus durrellii],Staphylococcus durrellii,268,268,99%,4e-88,72.99,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_195720627.1?report=genbank&log$=prottop&blast_rank=32&RID=96KTNVR7013"",""WP_195720627.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus pettenkoferi],Staphylococcus pettenkoferi,267,267,99%,7e-88,72.99,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_002473111.1?report=genbank&log$=prottop&blast_rank=33&RID=96KTNVR7013"",""WP_002473111.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus equorum],Staphylococcus equorum,267,267,99%,8e-88,72.99,290,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_021339121.1?report=genbank&log$=prottop&blast_rank=34&RID=96KTNVR7013"",""WP_021339121.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus],Staphylococcus,266,266,100%,2e-87,72.57,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_002492192.1?report=genbank&log$=prottop&blast_rank=35&RID=96KTNVR7013"",""WP_002492192.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus argensis],Staphylococcus argensis,265,265,99%,3e-87,72.99,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_103371410.1?report=genbank&log$=prottop&blast_rank=36&RID=96KTNVR7013"",""WP_103371410.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus edaphicus],Staphylococcus edaphicus,265,265,99%,5e-87,72.41,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_099089218.1?report=genbank&log$=prottop&blast_rank=37&RID=96KTNVR7013"",""WP_099089218.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus],Staphylococcus,263,263,100%,2e-86,70.86,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_002448967.1?report=genbank&log$=prottop&blast_rank=38&RID=96KTNVR7013"",""WP_002448967.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus lutrae],Staphylococcus lutrae,259,259,98%,5e-85,70.52,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_085236074.1?report=genbank&log$=prottop&blast_rank=39&RID=96KTNVR7013"",""WP_085236074.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus chromogenes],Staphylococcus chromogenes,258,258,98%,2e-84,70.52,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_105967534.1?report=genbank&log$=prottop&blast_rank=40&RID=96KTNVR7013"",""WP_105967534.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus auricularis],Staphylococcus auricularis,258,258,98%,2e-84,71.68,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_059107218.1?report=genbank&log$=prottop&blast_rank=41&RID=96KTNVR7013"",""WP_059107218.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus massiliensis],Staphylococcus massiliensis,258,258,98%,2e-84,69.94,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_009382657.1?report=genbank&log$=prottop&blast_rank=42&RID=96KTNVR7013"",""WP_009382657.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus canis],Staphylococcus canis,258,258,98%,4e-84,71.68,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_198616966.1?report=genbank&log$=prottop&blast_rank=43&RID=96KTNVR7013"",""WP_198616966.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus],Staphylococcus,256,256,98%,2e-83,70.52,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_060551190.1?report=genbank&log$=prottop&blast_rank=44&RID=96KTNVR7013"",""WP_060551190.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus pseudintermedius],Staphylococcus pseudintermedius,254,254,98%,6e-83,70.52,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_014613729.1?report=genbank&log$=prottop&blast_rank=45&RID=96KTNVR7013"",""WP_014613729.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus debuckii],Staphylococcus debuckii,254,254,99%,7e-83,66.67,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_123144853.1?report=genbank&log$=prottop&blast_rank=46&RID=96KTNVR7013"",""WP_123144853.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus microti],Staphylococcus microti,254,254,98%,1e-82,71.68,292,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_044360248.1?report=genbank&log$=prottop&blast_rank=47&RID=96KTNVR7013"",""WP_044360248.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus piscifermentans],Staphylococcus piscifermentans,254,254,99%,1e-82,66.67,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_095104889.1?report=genbank&log$=prottop&blast_rank=48&RID=96KTNVR7013"",""WP_095104889.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus cornubiensis],Staphylococcus cornubiensis,254,254,98%,1e-82,69.94,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_086427615.1?report=genbank&log$=prottop&blast_rank=49&RID=96KTNVR7013"",""WP_086427615.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus delphini],Staphylococcus delphini,253,253,98%,1e-82,69.94,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_155261368.1?report=genbank&log$=prottop&blast_rank=50&RID=96KTNVR7013"",""WP_155261368.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus intermedius],Staphylococcus intermedius,253,253,98%,1e-82,70.52,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_019169508.1?report=genbank&log$=prottop&blast_rank=51&RID=96KTNVR7013"",""WP_019169508.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus hyicus],Staphylococcus hyicus,253,253,98%,2e-82,69.94,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_039645409.1?report=genbank&log$=prottop&blast_rank=52&RID=96KTNVR7013"",""WP_039645409.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus rostri],Staphylococcus rostri,252,252,98%,5e-82,71.10,292,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_103358878.1?report=genbank&log$=prottop&blast_rank=53&RID=96KTNVR7013"",""WP_103358878.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus carnosus],Staphylococcus carnosus,250,250,99%,4e-81,67.82,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_015900490.1?report=genbank&log$=prottop&blast_rank=54&RID=96KTNVR7013"",""WP_015900490.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus],Staphylococcus,249,249,99%,5e-81,67.82,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_047131833.1?report=genbank&log$=prottop&blast_rank=55&RID=96KTNVR7013"",""WP_047131833.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus felis],Staphylococcus felis,247,247,98%,5e-80,70.52,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_103210020.1?report=genbank&log$=prottop&blast_rank=56&RID=96KTNVR7013"",""WP_103210020.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus ratti],Staphylococcus ratti,244,244,98%,1e-78,71.10,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_229293511.1?report=genbank&log$=prottop&blast_rank=57&RID=96KTNVR7013"",""WP_229293511.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus muscae],Staphylococcus muscae,243,243,98%,2e-78,70.52,292,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_095116619.1?report=genbank&log$=prottop&blast_rank=58&RID=96KTNVR7013"",""WP_095116619.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus],Staphylococcus,239,239,98%,7e-77,68.79,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_016425264.1?report=genbank&log$=prottop&blast_rank=59&RID=96KTNVR7013"",""WP_016425264.1"")"
N-acetylmuramoyl-L-alanine amidase [Staphylococcus],Staphylococcus,239,239,98%,9e-77,68.79,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_165545552.1?report=genbank&log$=prottop&blast_rank=60&RID=96KTNVR7013"",""WP_165545552.1"")"
N-acetylmuramoyl-L-alanine amidase [Mammaliicoccus],Mammaliicoccus,228,228,99%,1e-72,63.22,290,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_048539650.1?report=genbank&log$=prottop&blast_rank=61&RID=96KTNVR7013"",""WP_048539650.1"")"
N-acetylmuramoyl-L-alanine amidase [Mammaliicoccus stepanovicii],Mammaliicoccus stepanovicii,223,223,99%,1e-70,61.49,290,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_095087628.1?report=genbank&log$=prottop&blast_rank=62&RID=96KTNVR7013"",""WP_095087628.1"")"
N-acetylmuramoyl-L-alanine amidase [Mammaliicoccus],Mammaliicoccus,222,222,99%,3e-70,60.92,290,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_070044715.1?report=genbank&log$=prottop&blast_rank=63&RID=96KTNVR7013"",""WP_070044715.1"")"
N-acetylmuramoyl-L-alanine amidase [Mammaliicoccus],Mammaliicoccus,221,221,99%,6e-70,60.92,290,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_078356462.1?report=genbank&log$=prottop&blast_rank=64&RID=96KTNVR7013"",""WP_078356462.1"")"
N-acetylmuramoyl-L-alanine amidase [Mammaliicoccus],Mammaliicoccus,216,216,99%,6e-68,60.92,290,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_016911533.1?report=genbank&log$=prottop&blast_rank=65&RID=96KTNVR7013"",""WP_016911533.1"")"
N-acetylmuramoyl-L-alanine amidase [Macrococcus goetzii],Macrococcus goetzii,213,213,98%,2e-66,59.54,286,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_099580118.1?report=genbank&log$=prottop&blast_rank=66&RID=96KTNVR7013"",""WP_099580118.1"")"
N-acetylmuramoyl-L-alanine amidase [Macrococcus brunensis],Macrococcus brunensis,212,212,98%,2e-66,60.12,277,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_239034462.1?report=genbank&log$=prottop&blast_rank=67&RID=96KTNVR7013"",""WP_239034462.1"")"
N-acetylmuramoyl-L-alanine amidase [Macrococcus bohemicus],Macrococcus bohemicus,212,212,98%,3e-66,58.96,286,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_133353369.1?report=genbank&log$=prottop&blast_rank=68&RID=96KTNVR7013"",""WP_133353369.1"")"
N-acetylmuramoyl-L-alanine amidase [Macrococcus hajekii],Macrococcus hajekii,211,211,98%,4e-66,61.27,277,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_133428913.1?report=genbank&log$=prottop&blast_rank=69&RID=96KTNVR7013"",""WP_133428913.1"")"
N-acetylmuramoyl-L-alanine amidase [Macrococcus epidermidis],Macrococcus epidermidis,211,211,98%,6e-66,58.96,286,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_254256575.1?report=genbank&log$=prottop&blast_rank=70&RID=96KTNVR7013"",""WP_254256575.1"")"
N-acetylmuramoyl-L-alanine amidase [Macrococcus bovicus],Macrococcus bovicus,210,210,98%,8e-66,60.12,277,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_133450848.1?report=genbank&log$=prottop&blast_rank=71&RID=96KTNVR7013"",""WP_133450848.1"")"
N-acetylmuramoyl-L-alanine amidase [Macrococcus carouselicus],Macrococcus carouselicus,210,210,98%,9e-66,58.38,277,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_133417292.1?report=genbank&log$=prottop&blast_rank=72&RID=96KTNVR7013"",""WP_133417292.1"")"
N-acetylmuramoyl-L-alanine amidase [Macrococcus armenti],Macrococcus armenti,210,210,99%,2e-65,60.34,282,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_224186546.1?report=genbank&log$=prottop&blast_rank=73&RID=96KTNVR7013"",""WP_224186546.1"")"
N-acetylmuramoyl-L-alanine amidase [Macrococcus equipercicus],Macrococcus equipercicus,205,205,98%,1e-63,58.96,282,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_149458484.1?report=genbank&log$=prottop&blast_rank=74&RID=96KTNVR7013"",""WP_149458484.1"")"
N-acetylmuramoyl-L-alanine amidase [Macrococcus canis],Macrococcus canis,205,205,99%,1e-63,60.92,281,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_236365661.1?report=genbank&log$=prottop&blast_rank=75&RID=96KTNVR7013"",""WP_236365661.1"")"
N-acetylmuramoyl-L-alanine amidase [Macrococcus caseolyticus],Macrococcus caseolyticus,205,205,99%,1e-63,60.34,281,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_012657174.1?report=genbank&log$=prottop&blast_rank=76&RID=96KTNVR7013"",""WP_012657174.1"")"
N-acetylmuramoyl-L-alanine amidase [Macrococcus lamae],Macrococcus lamae,202,202,98%,1e-62,57.23,285,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_133442654.1?report=genbank&log$=prottop&blast_rank=77&RID=96KTNVR7013"",""WP_133442654.1"")"
N-acetylmuramoyl-L-alanine amidase [Siminovitchia fordii],Siminovitchia fordii,153,153,98%,5e-42,47.19,418,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_018705741.1?report=genbank&log$=prottop&blast_rank=78&RID=96KTNVR7013"",""WP_018705741.1"")"
N-acetylmuramoyl-L-alanine amidase [Salinicoccus alkaliphilus],Salinicoccus alkaliphilus,147,147,98%,2e-41,40.12,251,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_072708056.1?report=genbank&log$=prottop&blast_rank=79&RID=96KTNVR7013"",""WP_072708056.1"")"
N-acetylmuramoyl-L-alanine amidase [Jeotgalicoccus pinnipedialis],Jeotgalicoccus pinnipedialis,145,145,98%,7e-41,40.70,240,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186077802.1?report=genbank&log$=prottop&blast_rank=80&RID=96KTNVR7013"",""WP_186077802.1"")"
N-acetylmuramoyl-L-alanine amidase [Jeotgalicoccus schoeneichii],Jeotgalicoccus schoeneichii,143,143,98%,1e-40,40.70,184,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_229713803.1?report=genbank&log$=prottop&blast_rank=81&RID=96KTNVR7013"",""WP_229713803.1"")"
N-acetylmuramoyl-L-alanine amidase [Salinicoccus halitifaciens],Salinicoccus halitifaciens,145,145,98%,2e-40,40.80,248,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_230820558.1?report=genbank&log$=prottop&blast_rank=82&RID=96KTNVR7013"",""WP_230820558.1"")"
N-acetylmuramoyl-L-alanine amidase [Lederbergia galactosidilytica],Lederbergia galactosidilytica,144,144,99%,3e-40,43.89,228,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_238456176.1?report=genbank&log$=prottop&blast_rank=83&RID=96KTNVR7013"",""WP_238456176.1"")"
N-acetylmuramoyl-L-alanine amidase [Indiicoccus explosivorum],Indiicoccus explosivorum,148,148,98%,6e-40,43.82,426,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_088007214.1?report=genbank&log$=prottop&blast_rank=84&RID=96KTNVR7013"",""WP_088007214.1"")"
N-acetylmuramoyl-L-alanine amidase [Listeria seeligeri],Listeria seeligeri,148,148,99%,6e-40,46.41,427,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_012985683.1?report=genbank&log$=prottop&blast_rank=85&RID=96KTNVR7013"",""WP_012985683.1"")"
N-acetylmuramoyl-L-alanine amidase [Salinicoccus kekensis],Salinicoccus kekensis,142,142,95%,1e-39,41.42,248,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_097038588.1?report=genbank&log$=prottop&blast_rank=86&RID=96KTNVR7013"",""WP_097038588.1"")"
N-acetylmuramoyl-L-alanine amidase [Bacillus aerolatus],Bacillus aerolatus,146,146,98%,3e-39,42.13,444,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_191991716.1?report=genbank&log$=prottop&blast_rank=87&RID=96KTNVR7013"",""WP_191991716.1"")"
N-acetylmuramoyl-L-alanine amidase [Bacillus aerolatus],Bacillus aerolatus,147,147,99%,4e-39,43.58,519,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_152150376.1?report=genbank&log$=prottop&blast_rank=88&RID=96KTNVR7013"",""WP_152150376.1"")"
N-acetylmuramoyl-L-alanine amidase [Siminovitchia fortis],Siminovitchia fortis,145,145,98%,4e-39,43.82,421,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_144463290.1?report=genbank&log$=prottop&blast_rank=89&RID=96KTNVR7013"",""WP_144463290.1"")"
N-acetylmuramoyl-L-alanine amidase [Priestia],Priestia,142,142,98%,8e-39,42.37,285,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_226372971.1?report=genbank&log$=prottop&blast_rank=90&RID=96KTNVR7013"",""WP_226372971.1"")"
N-acetylmuramoyl-L-alanine amidase [Catellicoccus marimammalium],Catellicoccus marimammalium,145,145,99%,9e-39,48.07,434,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_009491990.1?report=genbank&log$=prottop&blast_rank=91&RID=96KTNVR7013"",""WP_009491990.1"")"
N-acetylmuramoyl-L-alanine amidase [Lederbergia lenta],Lederbergia lenta,144,144,99%,1e-38,44.69,422,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_066137261.1?report=genbank&log$=prottop&blast_rank=92&RID=96KTNVR7013"",""WP_066137261.1"")"
