taxid,family,genus_species,helix_5_occupancy_75_max,amr_fullname,amr_phylum,amr_family,amr_pathogenicity,amr_gram_status
>2079532,Paenibacillaceae,Paenibacillus faecalis,15,Paenibacillus macerans,Bacillota,Paenibacillaceae,Pathogenic,Gram-positive
>369333,Paenibacillaceae,Paenibacillus terrigena,15,Paenibacillus terrigena,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>59841,Paenibacillaceae,Paenibacillus kobensis,14,Paenibacillus kobensis,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>49283,Paenibacillaceae,Paenibacillus thiaminolyticus,14,Paenibacillus thiaminolyticus,Bacillota,Paenibacillaceae,Pathogenic,Gram-positive
>83557,Chlamydiaceae,Chlamydia caviae,23,Chlamydia pneumoniae,Chlamydiota,Chlamydiaceae,Pathogenic,Gram-negative
>2548455,Clostridiaceae,Clostridium cuniculi,16,Clostridium cuniculi,Bacillota,Clostridiaceae,Potentially pathogenic,Gram-positive
>2799335,Paenibacillaceae,Paenibacillus alkalitolerans,14,Paenibacillus thiaminolyticus,Bacillota,Paenibacillaceae,Pathogenic,Gram-positive
>2567944,Paenibacillaceae,Paenibacillus dokdonensis,14,Paenibacillus dokdonensis,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>369399,Paenibacillaceae,Paenibacillus zanthoxyli,15,Paenibacillus zanthoxyli,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>1527293,Paenibacillaceae,Paenibacillus dakarensis,14,Paenibacillus dakarensis,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>2931978,Paenibacillaceae,Paenibacillus mangrovi,14,Paenibacillus macerans,Bacillota,Paenibacillaceae,Pathogenic,Gram-positive
>1173085,Paenibacillaceae,Paenibacillus profundus,14,Paenibacillus profundus,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>130049,Paenibacillaceae,Paenibacillus dendritiformis,14,Paenibacillus dendritiformis,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>100176,Oscillospiraceae,Papillibacter cinnamivorans,16,Papillibacter cinnamivorans,Bacillota,Oscillospiraceae,Non-pathogenic,Gram-positive
>521520,Paenibacillaceae,Paenibacillus urinalis,14,Paenibacillus urinalis,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>157839,Paenibacillaceae,Paenibacillus cookii,14,Paenibacillus cookii,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>1462996,Paenibacillaceae,Paenibacillus yonginensis,14,Paenibacillus yonginensis,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>1619311,Paenibacillaceae,Paenibacillus physcomitrellae,14,Paenibacillus physcomitrellae,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>2762232,Paenibacillaceae,Paenibacillus gallinarum,14,Paenibacillus thiaminolyticus,Bacillota,Paenibacillaceae,Pathogenic,Gram-positive
>1330551,Paenibacillaceae,Paenibacillus lemnae,14,Paenibacillus lemnae,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>2567944,Paenibacillaceae,Paenibacillus dokdonensis,15,Paenibacillus dokdonensis,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>2079532,Paenibacillaceae,Paenibacillus faecalis,14,Paenibacillus macerans,Bacillota,Paenibacillaceae,Pathogenic,Gram-positive
>683737,Paenibacillaceae,Paenibacillus uliginis,14,Paenibacillus uliginis,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>268407,Paenibacillaceae,Paenibacillus wynnii,15,Paenibacillus wynnii,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>116718,Paenibacillaceae,Paenibacillus azoreducens,14,Paenibacillus azoreducens,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>2926292,Lactobacillaceae,Lacticaseibacillus kribbianus,15,Lacticaseibacillus kribbianus,Bacillota,Lactobacillaceae,Potentially pathogenic,Gram-positive
>1720296,Paenibacillaceae,Paenibacillus rubinfantis,16,Paenibacillus turicensis,Bacillota,Paenibacillaceae,Pathogenic,Gram-positive
>1457141,Chlamydiaceae,Chlamydia avium,23,Chlamydia avium,Chlamydiota,Chlamydiaceae,Potentially pathogenic,Gram-negative
>1406,Paenibacillaceae,Paenibacillus polymyxa,14,Paenibacillus polymyxa,Bacillota,Paenibacillaceae,Pathogenic,Gram-positive
>442899,Bacillaceae,Halolactibacillus alkaliphilus,14,Halolactibacillus alkaliphilus,Bacillota,Bacillaceae,Non-pathogenic,Gram-positive
>2931978,Paenibacillaceae,Paenibacillus mangrovi,14,Paenibacillus macerans,Bacillota,Paenibacillaceae,Pathogenic,Gram-positive
>1452732,Paenibacillaceae,Paenibacillus kyungheensis,14,Paenibacillus kyungheensis,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>948756,Paenibacillaceae,Paenibacillus macquariensis,15,Paenibacillus macquariensis,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>343517,Paenibacillaceae,Paenibacillus barengoltzii,16,Paenibacillus barengoltzii,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>66347,Paenibacillaceae,Paenibacillus campinasensis,14,Paenibacillus campinasensis,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>157733,Bacillaceae,Alkalihalobacillus macyae,18,Alkalihalobacillus macyae,Bacillota,Bacillaceae,Potentially pathogenic,Gram-positive
>1651774,Simkaniaceae,Candidatus Neptunochlamydia vexilliferae,21,(unknown name),(unknown phylum),(unknown family),Unknown,NA
>456493,Paenibacillaceae,Saccharibacillus sacchari,15,Saccharibacillus sacchari,Bacillota,Paenibacillaceae,Non-pathogenic,Gram-positive
>2060666,Paenibacillaceae,Saccharibacillus endophyticus,15,Saccharibacillus endophyticus,Bacillota,Paenibacillaceae,Non-pathogenic,Gram-positive
>1406,Paenibacillaceae,Paenibacillus polymyxa,14,Paenibacillus polymyxa,Bacillota,Paenibacillaceae,Pathogenic,Gram-positive
>252966,Thermoanaerobacterales/1-169 Family IV. Incertae Sedis,Mahella australiensis,15,Mahella australiensis,Bacillota,,Non-pathogenic,Gram-positive
>742054,Paenibacillaceae,Paenibacillus sacheonensis,14,Paenibacillus sacheonensis,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>225844,Bacillaceae,Alkalihalobacillus algicola,18,Alkalihalobacillus algicola,Bacillota,Bacillaceae,Potentially pathogenic,Gram-positive
>44250,Paenibacillaceae,Paenibacillus alvei,14,Paenibacillus alvei,Bacillota,Paenibacillaceae,Pathogenic,Gram-positive
>2565926,Paenibacillaceae,Paenibacillus algicola,14,Paenibacillus algicola,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>2079532,Paenibacillaceae,Paenibacillus faecalis,14,Paenibacillus macerans,Bacillota,Paenibacillaceae,Pathogenic,Gram-positive
>301953,Thermoanaerobacterales/1-180 Family III. Incertae Sedis,Caldicellulosiruptor acetigenus,16,Caldicellulosiruptor acetigenus,Bacillota,Syntrophomonadaceae,Non-pathogenic,Gram-positive
>2774142,Paenibacillaceae,Paenibacillus arenosi,14,Paenibacillus turicensis,Bacillota,Paenibacillaceae,Pathogenic,Gram-positive
>1926285,Bacillaceae,Oceanobacillus timonensis,16,Oceanobacillus timonensis,Bacillota,Bacillaceae,Non-pathogenic,Gram-positive
>1457153,Chlamydiaceae,Chlamydia gallinacea,23,Chlamydia gallinacea,Chlamydiota,Chlamydiaceae,Potentially pathogenic,Gram-negative
>2704463,Paenibacillaceae,Paenibacillus rhizovicinus,14,Paenibacillus thiaminolyticus,Bacillota,Paenibacillaceae,Pathogenic,Gram-positive
>1451,Paenibacillaceae,Paenibacillus amylolyticus,14,Paenibacillus amylolyticus,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>340071,Criblamydiaceae,Criblamydia sequanensis,22,Criblamydia sequanensis,Chlamydiota,Criblamydiaceae,Non-pathogenic,Gram-negative
>717609,Thermoanaerobacterales/1-180 Family III. Incertae Sedis,Caldicellulosiruptor obsidiansis,16,Caldicellulosiruptor obsidiansis,Bacillota,Syntrophomonadaceae,Non-pathogenic,Gram-positive
>813,Chlamydiaceae,Chlamydia trachomatis,23,Chlamydia trachomatis,Chlamydiota,Chlamydiaceae,Pathogenic,Gram-negative
>83555,Chlamydiaceae,Chlamydia abortus,23,Chlamydia abortus,Chlamydiota,Chlamydiaceae,Pathogenic,Gram-negative
>582851,Bacillaceae,Oceanobacillus sojae,12,Oceanobacillus sojae,Bacillota,Bacillaceae,Non-pathogenic,Gram-positive
>2931978,Paenibacillaceae,Paenibacillus mangrovi,14,Paenibacillus macerans,Bacillota,Paenibacillaceae,Pathogenic,Gram-positive
>2704462,Paenibacillaceae,Paenibacillus lycopersici,14,Paenibacillus turicensis,Bacillota,Paenibacillaceae,Pathogenic,Gram-positive
>83556,Chlamydiaceae,Chlamydia felis,23,Chlamydia felis,Chlamydiota,Chlamydiaceae,Potentially pathogenic,Gram-negative
>2494525,Chlamydiaceae,Chlamydia buteonis,23,Chlamydia pneumoniae,Chlamydiota,Chlamydiaceae,Pathogenic,Gram-negative
>2841508,Paenibacillaceae,Paenibacillus brevis,14,Paenibacillus brevis,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>1435645,Paenibacillaceae,Paenibacillus oenotherae,14,Paenibacillus oenotherae,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>1502,Clostridiaceae,Clostridium perfringens,14,Clostridium perfringens,Bacillota,Clostridiaceae,Pathogenic,Gram-positive
>2654979,Paenibacillaceae,Paenibacillus germinis,14,Paenibacillus germinis,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>1406,Paenibacillaceae,Paenibacillus polymyxa,14,Paenibacillus polymyxa,Bacillota,Paenibacillaceae,Pathogenic,Gram-positive
>59846,Paenibacillaceae,Paenibacillus chibensis,14,Paenibacillus chibensis,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>2490856,Paenibacillaceae,Paenibacillus oralis,15,Paenibacillus macerans,Bacillota,Paenibacillaceae,Pathogenic,Gram-positive
>1462527,Bacillaceae,Oceanobacillus jeddahense,16,Oceanobacillus jeddahense,Bacillota,Bacillaceae,Non-pathogenic,Gram-positive
>531815,Bacillaceae,Oceanobacillus neutriphilus,12,Oceanobacillus neutriphilus,Bacillota,Bacillaceae,Non-pathogenic,Gram-positive
>2744309,Paenibacillaceae,Paenibacillus agri,14,Paenibacillus agri,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>2780073,Paenibacillaceae,Paenibacillus rhizolycopersici,16,Paenibacillus thiaminolyticus,Bacillota,Paenibacillaceae,Pathogenic,Gram-positive
>1482,Bacillaceae,Virgibacillus halodenitrificans,14,Virgibacillus halodenitrificans,Bacillota,Bacillaceae,Non-pathogenic,Gram-positive
>578214,Bacillaceae,Halobacillus hunanensis,14,Halobacillus hunanensis,Bacillota,Bacillaceae,Non-pathogenic,Gram-positive
>2608683,Paenibacillaceae,Paenibacillus tepidiphilus,14,Paenibacillus tepidiphilus,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>1401,Paenibacillaceae,Paenibacillus lautus,15,Paenibacillus lautus,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>2806205,Thermoanaerobacterales/1-180 Family III. Incertae Sedis,Caldicellulosiruptor diazotrophicus,16,Caldicellulosiruptor diazotrophicus,Bacillota,Syntrophomonadaceae,Non-pathogenic,Gram-positive
>44251,Paenibacillaceae,Paenibacillus durus,14,Paenibacillus durus,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>268407,Paenibacillaceae,Paenibacillus wynnii,14,Paenibacillus wynnii,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>862114,Paenibacillaceae,Paenibacillus faecis,15,Paenibacillus faecis,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>2707005,Paenibacillaceae,Paenibacillus lutimineralis,14,Paenibacillus lutimineralis,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>1406,Paenibacillaceae,Paenibacillus polymyxa,14,Paenibacillus polymyxa,Bacillota,Paenibacillaceae,Pathogenic,Gram-positive
>59845,Paenibacillaceae,Paenibacillus illinoisensis,14,Paenibacillus illinoisensis,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>1507512,Peptostreptococcaceae,Romboutsia hominis,14,Romboutsia hominis,Bacillota,Clostridiaceae,Non-pathogenic,Gram-positive
>2567944,Paenibacillaceae,Paenibacillus dokdonensis,14,Paenibacillus dokdonensis,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>1268072,Paenibacillaceae,Paenibacillus sabinae,14,Paenibacillus sabinae,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>1268072,Paenibacillaceae,Paenibacillus sabinae,14,Paenibacillus sabinae,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>528191,Paenibacillaceae,Paenibacillus xylanexedens,14,Paenibacillus xylanexedens,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>46240,Paenibacillaceae,Paenibacillus apiarius,14,Paenibacillus apiarius,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>1967783,Chlamydiaceae,Chlamydia poikilotherma,23,Chlamydia poikilotherma,Chlamydiota,Chlamydiaceae,Potentially pathogenic,Gram-negative
>1406,Paenibacillaceae,Paenibacillus polymyxa,15,Paenibacillus polymyxa,Bacillota,Paenibacillaceae,Pathogenic,Gram-positive
>528191,Paenibacillaceae,Paenibacillus xylanexedens,15,Paenibacillus xylanexedens,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>521377,Bacillaceae,Alkalihalophilus marmarensis,18,Alkalihalophilus marmarensis,Bacillota,Bacillaceae,Non-pathogenic,Gram-positive
>669462,Paenibacillaceae,Paenibacillus pinihumi,14,Paenibacillus pinihumi,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>1850370,Paenibacillaceae,Paenibacillus apii,14,Paenibacillus apii,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>227866,Bacillaceae,Bacillus tequilensis,18,Bacillus tequilensis,Bacillota,Bacillaceae,Potentially pathogenic,Gram-positive
>52004,Halobacteroidaceae,Natroniella acetigena,17,Natroniella acetigena,Bacillota,Halobacteroidaceae,Non-pathogenic,Gram-positive
>2937794,Paenibacillaceae,Paenibacillus mellifer,16,Paenibacillus polymyxa,Bacillota,Paenibacillaceae,Pathogenic,Gram-positive
>2697035,Paenibacillaceae,Paenibacillus glycinis,14,Paenibacillus glycinis,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>2686092,Bacillaceae,Halobacillus ihumii,14,Lactobacillus delbrueckii indicus,Bacillota,Lactobacillaceae,Pathogenic,Gram-positive
>632348,Thermoanaerobacterales/1-180 Family III. Incertae Sedis,Caldicellulosiruptor kronotskyensis,16,Caldicellulosiruptor kronotskyensis,Bacillota,Syntrophomonadaceae,Non-pathogenic,Gram-positive
>225915,Paenibacillaceae,Paenibacillus timonensis,16,Paenibacillus timonensis,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>1274374,Paenibacillaceae,Paenibacillus antibioticophila,14,Paenibacillus thiaminolyticus,Bacillota,Paenibacillaceae,Pathogenic,Gram-positive
>135193,Paenibacillaceae,Paenibacillus daejeonensis,14,Paenibacillus daejeonensis,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>44252,Paenibacillaceae,Paenibacillus macerans,15,Paenibacillus macerans,Bacillota,Paenibacillaceae,Pathogenic,Gram-positive
>393763,Bacillaceae,Anaerobacillus alkalilacustris,18,Anaerobacillus alkalilacustris,Bacillota,Bacillaceae,Non-pathogenic,Gram-positive
>159743,Paenibacillaceae,Paenibacillus terrae,14,Paenibacillus terrae,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>2674991,Paenibacillaceae,Cohnella candidum,14,Cohnella candidum,Bacillota,Paenibacillaceae,Non-pathogenic,Gram-positive
>1333845,Paenibacillaceae,Paenibacillus sophorae,14,Paenibacillus sophorae,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>2487276,Bacillaceae,Bacillus cabrialesii,18,Bacillus cabrialesii,Bacillota,Bacillaceae,Potentially pathogenic,Gram-positive
>31899,Thermoanaerobacterales/1-180 Family III. Incertae Sedis,Caldicellulosiruptor bescii,16,Caldicellulosiruptor bescii,Bacillota,Syntrophomonadaceae,Non-pathogenic,Gram-positive
>472963,Bacillaceae,Anaerobacillus alkalidiazotrophicus,18,Anaerobacillus alkalidiazotrophicus,Bacillota,Bacillaceae,Non-pathogenic,Gram-positive
>2564100,Paenibacillaceae,Cohnella pontilimi,14,Cohnella pontilimi,Bacillota,Paenibacillaceae,Non-pathogenic,Gram-positive
>1232431,Paenibacillaceae,Paenibacillus ihuae,14,Paenibacillus ihuae,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>39489,Clostridiaceae,Clostridium moniliforme,17,Clostridium moniliforme,Bacillota,Clostridiaceae,Pathogenic,Gram-positive
>311244,Paenibacillaceae,Paenibacillus assamensis,14,Paenibacillus assamensis,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>1837342,Paenibacillaceae,Paenibacillus sinopodophylli,14,Paenibacillus sinopodophylli,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>171404,Paenibacillaceae,Paenibacillus agaridevorans,14,Paenibacillus agaridevorans,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>2766982,Chlamydiaceae,Chlamydia crocodili,23,Chlamydia trachomatis,Chlamydiota,Chlamydiaceae,Pathogenic,Gram-negative
>3020863,Paenibacillaceae,Paenibacillus agilis,14,Paenibacillus polymyxa,Bacillota,Paenibacillaceae,Pathogenic,Gram-positive
>225985,Bacillaceae,Fictibacillus gelatini,14,Fictibacillus gelatini,Bacillota,Bacillaceae,Non-pathogenic,Gram-positive
>582692,Paenibacillaceae,Paenibacillus polysaccharolyticus,15,Paenibacillus polysaccharolyticus,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>1423,Bacillaceae,Bacillus subtilis,18,Bacillus subtilis,Bacillota,Bacillaceae,Pathogenic,Gram-positive
>2728835,Verrucomicrobiaceae,Luteolibacter luteus,14,Luteolibacter luteus,Verrucomicrobiota,Verrucomicrobiaceae,Non-pathogenic,Gram-negative
>1705561,Paenibacillaceae,Paenibacillus xylanivorans,14,Paenibacillus xylanivorans,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>562959,Paenibacillaceae,Paenibacillus cellulositrophicus,15,Paenibacillus cellulositrophicus,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>1870820,Paenibacillaceae,Paenibacillus ihbetae,14,Paenibacillus ihbetae,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>1555112,Limnochordaceae,Limnochorda pilosa,16,Limnochorda pilosa,Bacillota,Limnochordaceae,Non-pathogenic,Gram-positive
>228574,Paenibacillaceae,Paenibacillus lactis,14,Paenibacillus lactis,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>413888,Thermoanaerobacterales/1-180 Family III. Incertae Sedis,Caldicellulosiruptor hydrothermalis,16,Caldicellulosiruptor hydrothermalis,Bacillota,Syntrophomonadaceae,Non-pathogenic,Gram-positive
>2820273,Bacillaceae,Gracilibacillus suaedae,14,Gracilibacillus suaedae,Bacillota,Bacillaceae,Non-pathogenic,Gram-positive
>545501,Bacillaceae,Oceanobacillus oncorhynchi,16,Oceanobacillus oncorhynchi,Bacillota,Bacillaceae,Non-pathogenic,Gram-positive
>1850370,Paenibacillaceae,Paenibacillus apii,14,Paenibacillus apii,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>85991,Chlamydiaceae,Chlamydia pecorum,22,Chlamydia pecorum,Chlamydiota,Chlamydiaceae,Potentially pathogenic,Gram-negative
>237530,Paenibacillaceae,Paenibacillus cineris,14,Paenibacillus cineris,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>1423,Bacillaceae,Bacillus subtilis,16,Bacillus subtilis,Bacillota,Bacillaceae,Pathogenic,Gram-positive
>484184,Paenibacillaceae,Paenibacillus taichungensis,15,Paenibacillus taichungensis,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>1243663,Paenibacillaceae,Paenibacillus camerounensis,14,Paenibacillus camerounensis,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>2689078,Paenibacillaceae,Paenibacillus turpanensis,14,Paenibacillus turpanensis,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>1406,Paenibacillaceae,Paenibacillus polymyxa,14,Paenibacillus polymyxa,Bacillota,Paenibacillaceae,Pathogenic,Gram-positive
>297318,Paenibacillaceae,Paenibacillus rhizosphaerae,14,Paenibacillus rhizosphaerae,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>1414722,Parachlamydiaceae,Candidatus Protochlamydia phocaeensis,22,(unknown name),(unknown phylum),(unknown family),Unknown,NA
>29563,Halanaerobiaceae,Halanaerobium salsuginis,16,Halanaerobium salsuginis,Bacillota,Halanaerobiaceae,Non-pathogenic,Gram-positive
>1482736,Peptostreptococcaceae,Acetoanaerobium pronyense,15,Acetoanaerobium pronyense,Bacillota,Peptostreptococcaceae,Non-pathogenic,Gram-positive
>1325358,Paenibacillaceae,Paenibacillus silvae,14,Paenibacillus silvae,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>253703,Paenibacillaceae,Paenibacillus antarcticus,15,Paenibacillus antarcticus,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>582686,Paenibacillaceae,Paenibacillus methanolicus,14,Paenibacillus methanolicus,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>79264,Paenibacillaceae,Paenibacillus ehimensis,14,Paenibacillus ehimensis,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>545502,Bacillaceae,Ornithinibacillus bavariensis,13,Ornithinibacillus bavariensis,Bacillota,Bacillaceae,Non-pathogenic,Gram-positive
>562959,Paenibacillaceae,Paenibacillus cellulositrophicus,14,Paenibacillus cellulositrophicus,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>189426,Paenibacillaceae,Paenibacillus odorifer,14,Paenibacillus odorifer,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>684063,Paenibacillaceae,Paenibacillus algorifonticola,14,Paenibacillus algorifonticola,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>237530,Paenibacillaceae,Paenibacillus cineris,14,Paenibacillus cineris,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>2492960,Bacillaceae,Bacillus yapensis,16,Halalkalibacter wakoensis,Bacillota,Bacillaceae,Pathogenic,Gram-positive
>483913,Bacillaceae,Bacillus inaquosorum,18,Bacillus inaquosorum,Bacillota,Bacillaceae,Potentially pathogenic,Gram-positive
>221028,Paenibacillaceae,Paenibacillus favisporus,14,Paenibacillus favisporus,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
>1222016,Thermoanaerobacterales/1-178 Family III. Incertae Sedis,Caldicellulosiruptor changbaiensis,16,Caldicellulosiruptor changbaiensis,Bacillota,Syntrophomonadaceae,Non-pathogenic,Gram-positive
>1325358,Paenibacillaceae,Paenibacillus silvae,15,Paenibacillus silvae,Bacillota,Paenibacillaceae,Potentially pathogenic,Gram-positive
