Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
N-acetylmuramoyl-L-alanine amidase CwlD [Serpentinicella alkaliphila],Serpentinicella alkaliphila,220,220,100%,5e-70,55.56,240,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_132849174.1?report=genbank&log$=prottop&blast_rank=35&RID=96KSZWM4016"",""WP_132849174.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Gottschalkia acidurici],Gottschalkia acidurici,220,220,100%,8e-70,56.61,235,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_014968365.1?report=genbank&log$=prottop&blast_rank=36&RID=96KSZWM4016"",""WP_014968365.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Thermohalobacter berrensis],Thermohalobacter berrensis,220,220,100%,9e-70,57.67,248,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_120167116.1?report=genbank&log$=prottop&blast_rank=37&RID=96KSZWM4016"",""WP_120167116.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Senegalia massiliensis],Senegalia massiliensis,219,219,100%,9e-70,57.67,233,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_130807927.1?report=genbank&log$=prottop&blast_rank=38&RID=96KSZWM4016"",""WP_130807927.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Geosporobacter ferrireducens],Geosporobacter ferrireducens,219,219,98%,1e-69,55.61,239,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_236932621.1?report=genbank&log$=prottop&blast_rank=39&RID=96KSZWM4016"",""WP_236932621.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Alkaliphilus hydrothermalis],Alkaliphilus hydrothermalis,219,219,100%,2e-69,54.50,239,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_243427915.1?report=genbank&log$=prottop&blast_rank=40&RID=96KSZWM4016"",""WP_243427915.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Tissierella carlieri],Tissierella carlieri,218,218,99%,3e-69,54.79,244,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_216557455.1?report=genbank&log$=prottop&blast_rank=41&RID=96KSZWM4016"",""WP_216557455.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Acidilutibacter cellobiosedens],Acidilutibacter cellobiosedens,218,218,98%,3e-69,56.15,235,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_128753047.1?report=genbank&log$=prottop&blast_rank=42&RID=96KSZWM4016"",""WP_128753047.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Anaerophilus nitritogenes],Anaerophilus nitritogenes,218,218,100%,4e-69,56.61,232,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_243109336.1?report=genbank&log$=prottop&blast_rank=43&RID=96KSZWM4016"",""WP_243109336.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Tissierella simiarum],Tissierella simiarum,218,218,100%,6e-69,56.08,244,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_216519848.1?report=genbank&log$=prottop&blast_rank=44&RID=96KSZWM4016"",""WP_216519848.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Anaeromonas gelatinilytica],Anaeromonas gelatinilytica,217,217,100%,1e-68,55.03,237,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_203371420.1?report=genbank&log$=prottop&blast_rank=45&RID=96KSZWM4016"",""WP_203371420.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Crassaminicella indica],Crassaminicella indica,216,216,100%,2e-68,55.56,239,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_218281776.1?report=genbank&log$=prottop&blast_rank=46&RID=96KSZWM4016"",""WP_218281776.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Gottschalkia purinilytica],Gottschalkia purinilytica,216,216,100%,2e-68,58.20,238,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_050355704.1?report=genbank&log$=prottop&blast_rank=47&RID=96KSZWM4016"",""WP_050355704.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Tissierella praeacuta],Tissierella praeacuta,216,216,99%,2e-68,54.79,244,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_072976944.1?report=genbank&log$=prottop&blast_rank=48&RID=96KSZWM4016"",""WP_072976944.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Anaerosolibacter carboniphilus],Anaerosolibacter carboniphilus,216,216,100%,3e-68,55.03,236,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_184311384.1?report=genbank&log$=prottop&blast_rank=49&RID=96KSZWM4016"",""WP_184311384.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Natronincola peptidivorans],Natronincola peptidivorans,215,215,99%,6e-68,54.79,238,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_090445146.1?report=genbank&log$=prottop&blast_rank=50&RID=96KSZWM4016"",""WP_090445146.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Caminicella sporogenes],Caminicella sporogenes,215,215,100%,7e-68,55.03,239,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_072968704.1?report=genbank&log$=prottop&blast_rank=51&RID=96KSZWM4016"",""WP_072968704.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Crassaminicella profunda],Crassaminicella profunda,214,214,100%,9e-68,55.03,236,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_223037092.1?report=genbank&log$=prottop&blast_rank=52&RID=96KSZWM4016"",""WP_223037092.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Geosporobacter subterraneus],Geosporobacter subterraneus,214,214,100%,9e-68,53.44,239,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_110942270.1?report=genbank&log$=prottop&blast_rank=53&RID=96KSZWM4016"",""WP_110942270.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Marinisporobacter balticus],Marinisporobacter balticus,214,214,100%,1e-67,56.08,237,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_132244829.1?report=genbank&log$=prottop&blast_rank=54&RID=96KSZWM4016"",""WP_132244829.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Clostridium aceticum],Clostridium aceticum,214,214,100%,2e-67,52.91,238,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_044826236.1?report=genbank&log$=prottop&blast_rank=55&RID=96KSZWM4016"",""WP_044826236.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Alkaliphilus transvaalensis],Alkaliphilus transvaalensis,213,213,100%,5e-67,53.16,239,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_026477617.1?report=genbank&log$=prottop&blast_rank=56&RID=96KSZWM4016"",""WP_026477617.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Alkaliphilus pronyensis],Alkaliphilus pronyensis,213,213,100%,5e-67,53.97,243,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_151860717.1?report=genbank&log$=prottop&blast_rank=57&RID=96KSZWM4016"",""WP_151860717.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Anaerosalibacter massiliensis],Anaerosalibacter massiliensis,212,212,100%,1e-66,55.56,242,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_042679497.1?report=genbank&log$=prottop&blast_rank=58&RID=96KSZWM4016"",""WP_042679497.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Clostridium formicaceticum],Clostridium formicaceticum,211,211,100%,2e-66,51.85,238,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_070964233.1?report=genbank&log$=prottop&blast_rank=59&RID=96KSZWM4016"",""WP_070964233.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Thermotalea metallivorans],Thermotalea metallivorans,211,211,100%,2e-66,54.50,236,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_068556702.1?report=genbank&log$=prottop&blast_rank=60&RID=96KSZWM4016"",""WP_068556702.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Paratissierella segnis],Paratissierella segnis,211,211,100%,2e-66,57.14,243,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_262429616.1?report=genbank&log$=prottop&blast_rank=61&RID=96KSZWM4016"",""WP_262429616.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Abyssisolibacter fermentans],Abyssisolibacter fermentans,211,211,98%,2e-66,56.15,243,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_066502317.1?report=genbank&log$=prottop&blast_rank=62&RID=96KSZWM4016"",""WP_066502317.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Anaerovirgula multivorans],Anaerovirgula multivorans,211,211,100%,3e-66,53.44,238,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_089282951.1?report=genbank&log$=prottop&blast_rank=63&RID=96KSZWM4016"",""WP_089282951.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Anaerosalibacter bizertensis],Anaerosalibacter bizertensis,210,210,97%,7e-66,56.22,241,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_216384416.1?report=genbank&log$=prottop&blast_rank=64&RID=96KSZWM4016"",""WP_216384416.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Fervidicella metallireducens],Fervidicella metallireducens,209,209,100%,1e-65,57.14,236,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_035381554.1?report=genbank&log$=prottop&blast_rank=65&RID=96KSZWM4016"",""WP_035381554.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Alkaliphilus peptidifermentans],Alkaliphilus peptidifermentans,209,209,100%,2e-65,53.97,237,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_091544066.1?report=genbank&log$=prottop&blast_rank=66&RID=96KSZWM4016"",""WP_091544066.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Alkaliphilus metalliredigens],Alkaliphilus metalliredigens,209,209,100%,2e-65,52.91,244,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_157047335.1?report=genbank&log$=prottop&blast_rank=67&RID=96KSZWM4016"",""WP_157047335.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Clostridiisalibacter paucivorans],Clostridiisalibacter paucivorans,208,208,98%,3e-65,55.38,240,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_026895009.1?report=genbank&log$=prottop&blast_rank=68&RID=96KSZWM4016"",""WP_026895009.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Sporanaerobacter acetigenes],Sporanaerobacter acetigenes,208,208,98%,3e-65,54.55,241,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_132996327.1?report=genbank&log$=prottop&blast_rank=69&RID=96KSZWM4016"",""WP_132996327.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Oxobacter pfennigii],Oxobacter pfennigii,208,208,98%,4e-65,55.08,238,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_054873241.1?report=genbank&log$=prottop&blast_rank=70&RID=96KSZWM4016"",""WP_054873241.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Thermobrachium celere],Thermobrachium celere,207,207,98%,4e-65,54.55,225,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_018663653.1?report=genbank&log$=prottop&blast_rank=71&RID=96KSZWM4016"",""WP_018663653.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Petroclostridium xylanilyticum],Petroclostridium xylanilyticum,206,206,100%,1e-64,55.79,222,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_242965100.1?report=genbank&log$=prottop&blast_rank=72&RID=96KSZWM4016"",""WP_242965100.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Lutispora thermophila],Lutispora thermophila,207,207,100%,1e-64,52.38,243,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_139249934.1?report=genbank&log$=prottop&blast_rank=73&RID=96KSZWM4016"",""WP_139249934.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Alkaliphilus serpentinus],Alkaliphilus serpentinus,205,205,100%,4e-64,53.44,237,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_243136958.1?report=genbank&log$=prottop&blast_rank=74&RID=96KSZWM4016"",""WP_243136958.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Proteiniborus ethanoligenes],Proteiniborus ethanoligenes,205,205,98%,6e-64,54.55,237,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_091728959.1?report=genbank&log$=prottop&blast_rank=75&RID=96KSZWM4016"",""WP_091728959.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Caloramator],Caloramator,203,203,98%,3e-63,53.48,225,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_027309159.1?report=genbank&log$=prottop&blast_rank=76&RID=96KSZWM4016"",""WP_027309159.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Sporosalibacterium faouarense],Sporosalibacterium faouarense,202,202,98%,4e-63,52.94,239,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_202710047.1?report=genbank&log$=prottop&blast_rank=77&RID=96KSZWM4016"",""WP_202710047.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Caloramator fervidus],Caloramator fervidus,202,202,98%,5e-63,56.15,227,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_103895703.1?report=genbank&log$=prottop&blast_rank=78&RID=96KSZWM4016"",""WP_103895703.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Maledivibacter halophilus],Maledivibacter halophilus,202,202,100%,6e-63,51.85,239,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_208984952.1?report=genbank&log$=prottop&blast_rank=79&RID=96KSZWM4016"",""WP_208984952.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Schnuerera ultunensis],Schnuerera ultunensis,202,202,98%,8e-63,53.48,241,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_005583225.1?report=genbank&log$=prottop&blast_rank=80&RID=96KSZWM4016"",""WP_005583225.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Fonticella tunisiensis],Fonticella tunisiensis,201,201,100%,1e-62,53.44,233,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_166636483.1?report=genbank&log$=prottop&blast_rank=81&RID=96KSZWM4016"",""WP_166636483.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Caloramator australicus],Caloramator australicus,200,200,98%,3e-62,54.55,227,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_008908541.1?report=genbank&log$=prottop&blast_rank=82&RID=96KSZWM4016"",""WP_008908541.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Paramaledivibacter caminithermalis],Paramaledivibacter caminithermalis,201,201,100%,3e-62,51.32,240,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_073153876.1?report=genbank&log$=prottop&blast_rank=83&RID=96KSZWM4016"",""WP_073153876.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Caloramator mitchellensis],Caloramator mitchellensis,198,198,98%,1e-61,56.15,227,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_057977853.1?report=genbank&log$=prottop&blast_rank=84&RID=96KSZWM4016"",""WP_057977853.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Caloramator quimbayensis],Caloramator quimbayensis,199,199,100%,2e-61,52.38,236,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_242948728.1?report=genbank&log$=prottop&blast_rank=85&RID=96KSZWM4016"",""WP_242948728.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Irregularibacter muris],Irregularibacter muris,198,198,100%,2e-61,51.85,239,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_257530163.1?report=genbank&log$=prottop&blast_rank=86&RID=96KSZWM4016"",""WP_257530163.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Alkaliphilus flagellatus],Alkaliphilus flagellatus,198,198,100%,2e-61,50.79,239,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_281417648.1?report=genbank&log$=prottop&blast_rank=87&RID=96KSZWM4016"",""WP_281417648.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Lutispora saccharofermentans],Lutispora saccharofermentans,197,197,100%,4e-61,49.21,240,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_255228418.1?report=genbank&log$=prottop&blast_rank=88&RID=96KSZWM4016"",""WP_255228418.1"")"
