taxid,family,genus_species,helix_5_occupancy_75_max,amr_fullname,amr_phylum,amr_family,amr_pathogenicity,amr_gram_status
>33044,Bartonellaceae,Bartonella doshiae,44,Bartonella doshiae,Pseudomonadota,Bartonellaceae,Potentially pathogenic,Gram-negative
>270249,Bartonellaceae,Bartonella phoceensis,44,Bartonella phoceensis,Pseudomonadota,Bartonellaceae,Potentially pathogenic,Gram-negative
>686223,Bartonellaceae,Bartonella callosciuri,44,Bartonella callosciuri,Pseudomonadota,Bartonellaceae,Potentially pathogenic,Gram-negative
>33047,Bartonellaceae,Bartonella vinsonii,44,Bartonella vinsonii,Pseudomonadota,Bartonellaceae,Pathogenic,Gram-negative
>270250,Bartonellaceae,Bartonella rattimassiliensis,44,Bartonella rattimassiliensis,Pseudomonadota,Bartonellaceae,Potentially pathogenic,Gram-negative
>1457020,Bartonellaceae,Candidatus Bartonella raoultii,44,(unknown name),(unknown phylum),(unknown family),Unknown,NA
>2267275,Bartonellaceae,Bartonella krasnovii,44,Bartonella krasnovii,Pseudomonadota,Bartonellaceae,Potentially pathogenic,Gram-negative
>1457016,Bartonellaceae,Bartonella saheliensis,44,Bartonella ancashensis,Pseudomonadota,Bartonellaceae,Pathogenic,Gram-negative
>111504,Bartonellaceae,Bartonella birtlesii,44,Bartonella birtlesii,Pseudomonadota,Bartonellaceae,Potentially pathogenic,Gram-negative
>928210,Bartonellaceae,Bartonella florencae,44,Bartonella florencae,Pseudomonadota,Bartonellaceae,Potentially pathogenic,Gram-negative
>481139,Bartonellaceae,Bartonella rattaustraliani,44,Bartonella rattaustraliani,Pseudomonadota,Bartonellaceae,Potentially pathogenic,Gram-negative
>186739,Bartonellaceae,Bartonella washoeensis,44,Bartonella washoeensis,Pseudomonadota,Bartonellaceae,Potentially pathogenic,Gram-negative
>481138,Bartonellaceae,Bartonella queenslandensis,44,Bartonella queenslandensis,Pseudomonadota,Bartonellaceae,Potentially pathogenic,Gram-negative
>52764,Bartonellaceae,Bartonella alsatica,44,Bartonella alsatica,Pseudomonadota,Bartonellaceae,Pathogenic,Gram-negative
>774,Bartonellaceae,Bartonella bacilliformis,44,Bartonella bacilliformis,Pseudomonadota,Bartonellaceae,Pathogenic,Gram-negative
>56426,Bartonellaceae,Bartonella clarridgeiae,44,Bartonella clarridgeiae,Pseudomonadota,Bartonellaceae,Potentially pathogenic,Gram-negative
>155192,Bartonellaceae,Bartonella capreoli,44,Bartonella capreoli,Pseudomonadota,Bartonellaceae,Potentially pathogenic,Gram-negative
>155194,Bartonellaceae,Bartonella bovis,44,Bartonella bovis,Pseudomonadota,Bartonellaceae,Potentially pathogenic,Gram-negative
>1318743,Bartonellaceae,Bartonella ancashensis,44,Bartonella ancashensis,Pseudomonadota,Bartonellaceae,Pathogenic,Gram-negative
>388640,Bartonellaceae,Bartonella australis,44,Bartonella australis,Pseudomonadota,Bartonellaceae,Potentially pathogenic,Gram-negative
>395923,Bartonellaceae,Bartonella rochalimae,44,Bartonella rochalimae,Pseudomonadota,Bartonellaceae,Potentially pathogenic,Gram-negative
>165694,Bartonellaceae,Bartonella schoenbuchensis,44,Bartonella schoenbuchensis,Pseudomonadota,Bartonellaceae,Potentially pathogenic,Gram-negative
>38323,Bartonellaceae,Bartonella henselae,44,Bartonella henselae,Pseudomonadota,Bartonellaceae,Pathogenic,Gram-negative
>291176,Bartonellaceae,Bartonella melophagi,44,Bartonella melophagi,Pseudomonadota,Bartonellaceae,Potentially pathogenic,Gram-negative
>373638,Bartonellaceae,Bartonella tamiae,44,Bartonella tamiae,Pseudomonadota,Bartonellaceae,Pathogenic,Gram-negative
>2750929,Bartonellaceae,Bartonella apihabitans,44,Bartonella elizabethae,Pseudomonadota,Bartonellaceae,Pathogenic,Gram-negative
>2750995,Bartonellaceae,Bartonella choladocola,44,Salmonella enterica enterica,Pseudomonadota,Enterobacteriaceae,Pathogenic,Gram-negative
>1686310,Bartonellaceae,Bartonella apis,44,Bartonella apis,Pseudomonadota,Bartonellaceae,Potentially pathogenic,Gram-negative
>335286,Brucellaceae,Brucella oryzae,44,Brucella oryzae,Pseudomonadota,Brucellaceae,Potentially pathogenic,Gram-negative
>529,Brucellaceae,Brucella anthropi,44,Brucella anthropi,Pseudomonadota,Brucellaceae,Pathogenic,Gram-negative
>407152,Brucellaceae,Brucella cytisi,44,Brucella cytisi,Pseudomonadota,Brucellaceae,Potentially pathogenic,Gram-negative
>2670329,Phyllobacteriaceae,Phyllobacterium phragmitis,44,Phyllobacterium phragmitis,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>235,Brucellaceae,Brucella abortus,44,Brucella melitensis,Pseudomonadota,Brucellaceae,Pathogenic,Gram-negative
>94626,Brucellaceae,Brucella tritici,44,Brucella tritici,Pseudomonadota,Brucellaceae,Potentially pathogenic,Gram-negative
>94625,Brucellaceae,Brucella intermedia,44,Brucella intermedia,Pseudomonadota,Brucellaceae,Pathogenic,Gram-negative
>867683,Brucellaceae,Brucella pecoris,44,Brucella pecoris,Pseudomonadota,Brucellaceae,Potentially pathogenic,Gram-negative
>235,Brucellaceae,Brucella abortus,44,Brucella melitensis,Pseudomonadota,Brucellaceae,Pathogenic,Gram-negative
>419475,Brucellaceae,Brucella pseudogrignonensis,44,Brucella pseudogrignonensis,Pseudomonadota,Brucellaceae,Potentially pathogenic,Gram-negative
>659015,Brucellaceae,Brucella daejeonensis,44,Brucella daejeonensis,Pseudomonadota,Brucellaceae,Potentially pathogenic,Gram-negative
>235,Brucellaceae,Brucella abortus,44,Brucella melitensis,Pseudomonadota,Brucellaceae,Pathogenic,Gram-negative
>235,Brucellaceae,Brucella abortus,44,Brucella melitensis,Pseudomonadota,Brucellaceae,Pathogenic,Gram-negative
>1218315,Brucellaceae,Brucella inopinata,44,Brucella inopinata,Pseudomonadota,Brucellaceae,Pathogenic,Gram-negative
>2479765,Brucellaceae,Ochrobactrum teleogrylli,44,Ochrobactrum teleogrylli,Pseudomonadota,Brucellaceae,Potentially pathogenic,Gram-negative
>2448455,Brucellaceae,Ochrobactrum soli,44,Ochrobactrum soli,Pseudomonadota,Brucellaceae,Potentially pathogenic,Gram-negative
>1494590,Phyllobacteriaceae,Paramesorhizobium deserti,44,Paramesorhizobium deserti,Pseudomonadota,Rhizobiaceae,Non-pathogenic,Gram-negative
>235,Brucellaceae,Brucella abortus,44,Brucella melitensis,Pseudomonadota,Brucellaceae,Pathogenic,Gram-negative
>571256,Brucellaceae,Brucella pituitosa,44,Brucella pituitosa,Pseudomonadota,Brucellaceae,Potentially pathogenic,Gram-negative
>271865,Brucellaceae,Ochrobactrum quorumnocens,44,Brucella pseudogrignonensis,Pseudomonadota,Brucellaceae,Potentially pathogenic,Gram-negative
>571254,Brucellaceae,Brucella rhizosphaerae,44,Brucella rhizosphaerae,Pseudomonadota,Brucellaceae,Potentially pathogenic,Gram-negative
>643673,Brucellaceae,Paenochrobactrum gallinarii,44,Paenochrobactrum gallinarii,Pseudomonadota,Brucellaceae,Non-pathogenic,Gram-negative
>235,Brucellaceae,Brucella abortus,44,Brucella melitensis,Pseudomonadota,Brucellaceae,Pathogenic,Gram-negative
>2201899,Brucellaceae,Falsochrobactrum shanghaiense,44,Falsochrobactrum shanghaiense,Pseudomonadota,Brucellaceae,Non-pathogenic,Gram-negative
>29460,Brucellaceae,Brucella neotomae,44,Brucella melitensis,Pseudomonadota,Brucellaceae,Pathogenic,Gram-negative
>235,Brucellaceae,Brucella abortus,44,Brucella melitensis,Pseudomonadota,Brucellaceae,Pathogenic,Gram-negative
>94627,Brucellaceae,Brucella grignonensis,44,Brucella grignonensis,Pseudomonadota,Brucellaceae,Potentially pathogenic,Gram-negative
>419474,Brucellaceae,Brucella haematophila,44,Brucella haematophila,Pseudomonadota,Brucellaceae,Potentially pathogenic,Gram-negative
>1899321,Phyllobacteriaceae,Phyllobacterium salinisoli,44,Phyllobacterium salinisoli,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>571255,Brucellaceae,Brucella thiophenivorans,44,Brucella thiophenivorans,Pseudomonadota,Brucellaceae,Potentially pathogenic,Gram-negative
>1963359,Brucellaceae,Brucella endophytica,44,Brucella endophytica,Pseudomonadota,Brucellaceae,Potentially pathogenic,Gram-negative
>314237,Phyllobacteriaceae,Phyllobacterium leguminum,44,Phyllobacterium leguminum,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>354351,Brucellaceae,Pseudochrobactrum asaccharolyticum,44,Pseudochrobactrum asaccharolyticum,Pseudomonadota,Brucellaceae,Non-pathogenic,Gram-negative
>1867719,Phyllobacteriaceae,Phyllobacterium zundukense,45,Phyllobacterium zundukense,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>2834768,Brucellaceae,Pseudochrobactrum algeriensis,44,Pseudochrobactrum algeriense,Pseudomonadota,Brucellaceae,Non-pathogenic,Gram-negative
>28101,Phyllobacteriaceae,Phyllobacterium myrsinacearum,45,Phyllobacterium myrsinacearum,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>314236,Phyllobacteriaceae,Phyllobacterium bourgognense,45,Phyllobacterium bourgognense,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>1149773,Phyllobacteriaceae,Phyllobacterium endophyticum,45,Phyllobacterium endophyticum,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>314237,Phyllobacteriaceae,Phyllobacterium leguminum,45,Phyllobacterium leguminum,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>2817027,Phyllobacteriaceae,Phyllobacterium calauticae,45,Phyllobacterium calauticae,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>69279,Phyllobacteriaceae,Aquamicrobium defluvii,45,Aquamicrobium defluvii,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>300193,Phyllobacteriaceae,Phyllobacterium trifolii,45,Phyllobacterium trifolii,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>89772,Phyllobacteriaceae,Aquamicrobium lusatiense,45,Aquamicrobium lusatiense,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>314235,Phyllobacteriaceae,Phyllobacterium brassicacearum,45,Phyllobacterium brassicacearum,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>381,Phyllobacteriaceae,Mesorhizobium loti,45,Mesorhizobium loti,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>354351,Brucellaceae,Pseudochrobactrum asaccharolyticum,44,Pseudochrobactrum asaccharolyticum,Pseudomonadota,Brucellaceae,Non-pathogenic,Gram-negative
>1873176,Phyllobacteriaceae,Pseudaminobacter manganicus,45,Pseudaminobacter manganicus,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>2675109,Phyllobacteriaceae,Mesorhizobium composti,45,Mesorhizobium composti,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>2116701,Phyllobacteriaceae,Mesorhizobium ephedrae,45,Mesorhizobium ephedrae,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>1502156,Phyllobacteriaceae,Tianweitania sediminis,45,Tianweitania sediminis,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>2767425,Phyllobacteriaceae,Oryzicola mucosus,45,Rothia mucilaginosa,Actinomycetota,Micrococcaceae,Pathogenic,Gram-positive
>2742145,Phyllobacteriaceae,Oricola thermophila,45,Oricola thermophila,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>93369,Phyllobacteriaceae,Pseudaminobacter salicylatoxidans,45,Pseudaminobacter salicylatoxidans,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>1982044,Phyllobacteriaceae,Zhengella mangrovi,45,Zhengella mangrovi,Pseudomonadota,Notoacmeibacteraceae,Non-pathogenic,Gram-negative
>1295366,Phyllobacteriaceae,Mesorhizobium soli,45,Mesorhizobium soli,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>1851146,Phyllobacteriaceae,Pseudaminobacter arsenicus,45,Pseudaminobacter arsenicus,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>1776730,Phyllobacteriaceae,Mesorhizobium zhangyense,45,(unknown name),(unknown phylum),(unknown family),Unknown,NA
>1776423,Phyllobacteriaceae,Mesorhizobium helmanticense,45,Mesorhizobium helmanticense,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>2831468,Phyllobacteriaceae,Pseudaminobacter soli,45,Pseudaminobacter soli,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>83265,Phyllobacteriaceae,Aminobacter niigataensis,45,Aminobacter niigataensis,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>505389,Phyllobacteriaceae,Mesorhizobium sangaii,45,Mesorhizobium sangaii,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>1300294,Phyllobacteriaceae,Mesorhizobium sophorae,45,Mesorhizobium sophorae,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>2495581,Phyllobacteriaceae,Aquibium carbonis,45,Aquibium carbonis,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>536019,Phyllobacteriaceae,Mesorhizobium opportunistum,45,Mesorhizobium opportunistum,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>381,Phyllobacteriaceae,Mesorhizobium loti,45,Mesorhizobium loti,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>2037900,Phyllobacteriaceae,Mesorhizobium sanjuanii,45,Mesorhizobium sanjuanii,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>39645,Phyllobacteriaceae,Mesorhizobium ciceri,45,Mesorhizobium ciceri,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>2184161,Phyllobacteriaceae,Oceaniradius stylonematis,45,Oceaniradius stylonematis,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>376165,Phyllobacteriaceae,Aminobacter carboxidus,45,Aminobacter carboxidus,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>39844,Phyllobacteriaceae,Mesorhizobium tianshanense,45,Mesorhizobium tianshanense,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>1035067,Phyllobacteriaceae,Aminobacter anthyllidis,45,Aminobacter anthyllidis,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>381,Phyllobacteriaceae,Mesorhizobium loti,45,Mesorhizobium loti,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>381,Phyllobacteriaceae,Mesorhizobium loti,45,Mesorhizobium loti,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>381,Phyllobacteriaceae,Mesorhizobium loti,45,Mesorhizobium loti,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>381,Phyllobacteriaceae,Mesorhizobium loti,45,Mesorhizobium loti,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>305698,Phyllobacteriaceae,Aminobacter lissarensis,45,Aminobacter carboxidus,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>1631249,Phyllobacteriaceae,Mesorhizobium prunaredense,45,Mesorhizobium prunaredense,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>83263,Phyllobacteriaceae,Aminobacter aminovorans,45,Aminobacter aminovorans,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>489722,Phyllobacteriaceae,Mesorhizobium metallidurans,45,Mesorhizobium metallidurans,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>2502215,Phyllobacteriaceae,Mesorhizobium comanense,45,Mesorhizobium comanense,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>1004279,Phyllobacteriaceae,Mesorhizobium muleiense,45,Mesorhizobium muleiense,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>381,Phyllobacteriaceae,Mesorhizobium loti,45,Mesorhizobium loti,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>666020,Phyllobacteriaceae,Mesorhizobium ventifaucium,45,(unknown name),(unknown phylum),(unknown family),Unknown,NA
>28104,Phyllobacteriaceae,Mesorhizobium huakuii,45,Mesorhizobium huakuii,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>381,Phyllobacteriaceae,Mesorhizobium loti,45,Mesorhizobium loti,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>1208188,Phyllobacteriaceae,Mesorhizobium carmichaelinearum,45,Mesorhizobium carmichaelinearum,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>2233532,Phyllobacteriaceae,Mesorhizobium atlanticum,45,Mesorhizobium atlanticum,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>666018,Phyllobacteriaceae,Mesorhizobium escarrei,45,(unknown name),(unknown phylum),(unknown family),Unknown,NA
>83263,Phyllobacteriaceae,Aminobacter aminovorans,45,Aminobacter aminovorans,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>2901226,Rhizobiaceae,Rhizobium quercicola,45,Agrobacterium radiobacter,Pseudomonadota,Rhizobiaceae,Pathogenic,Gram-negative
>2014805,Phyllobacteriaceae,Mesorhizobium wenxiniae,45,Mesorhizobium wenxiniae,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>508661,Rhizobiaceae,Rhizobium herbae,45,Pararhizobium herbae,Pseudomonadota,Rhizobiaceae,Non-pathogenic,Gram-negative
>1165689,Phyllobacteriaceae,Mesorhizobium qingshengii,45,Mesorhizobium qingshengii,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>1209954,Phyllobacteriaceae,Mesorhizobium hawassense,45,Mesorhizobium hawassense,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>1300272,Phyllobacteriaceae,Mesorhizobium kowhaii,45,Mesorhizobium kowhaii,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>483206,Phyllobacteriaceae,Mesorhizobium caraganae,45,Mesorhizobium caraganae,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>2872591,Phyllobacteriaceae,Oricola indica,45,Oricola indica,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>475069,Phyllobacteriaceae,Mesorhizobium camelthorni,45,Mesorhizobium camelthorni,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>2775404,Phyllobacteriaceae,Mesorhizobium onobrychidis,45,(unknown name),(unknown phylum),(unknown family),Unknown,NA
>241416,Phyllobacteriaceae,Mesorhizobium temperatum,45,Mesorhizobium temperatum,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>43617,Phyllobacteriaceae,Mesorhizobium mediterraneum,45,Mesorhizobium mediterraneum,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>1631247,Phyllobacteriaceae,Mesorhizobium delmotii,45,Mesorhizobium delmotii,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>1307853,Phyllobacteriaceae,Mesorhizobium neociceri,45,Mesorhizobium neociceri,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>1670800,Phyllobacteriaceae,Aquibium oceanicum,45,Aquibium oceanicum,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>71433,Phyllobacteriaceae,Mesorhizobium amorphae,45,Mesorhizobium amorphae,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>1300307,Phyllobacteriaceae,Mesorhizobium waimense,45,Mesorhizobium waimense,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>1852022,Phyllobacteriaceae,Roseitalea porphyridii,45,Roseitalea porphyridii,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>1612624,Rhizobiaceae,Pararhizobium polonicum,45,Pararhizobium polonicum,Pseudomonadota,Rhizobiaceae,Non-pathogenic,Gram-negative
>1856850,Rhizobiaceae,Pararhizobium arenae,45,Pararhizobium arenae,Pseudomonadota,Rhizobiaceae,Non-pathogenic,Gram-negative
>675281,Phyllobacteriaceae,Aquibium microcysteis,45,Aquibium microcysteis,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>425306,Phyllobacteriaceae,Mesorhizobium tamadayense,45,Mesorhizobium tamadayense,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>499528,Phyllobacteriaceae,Mesorhizobium silamurunense,45,Mesorhizobium silamurunense,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>1817964,Rhizobiaceae,Shinella curvata,45,Shinella curvata,Pseudomonadota,Rhizobiaceae,Non-pathogenic,Gram-negative
>76747,Rhizobiaceae,Sinorhizobium kostiense,45,Ensifer kostiensis,Pseudomonadota,Rhizobiaceae,Non-pathogenic,Gram-negative
>2037914,Rhizobiaceae,Pararhizobium haloflavum,45,Pararhizobium haloflavum,Pseudomonadota,Rhizobiaceae,Non-pathogenic,Gram-negative
>1429082,Phyllobacteriaceae,Oricola cellulosilytica,45,Oricola cellulosilytica,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>1967501,Rhizobiaceae,Shinella sumterensis,45,Shewanella xiamenensis,Pseudomonadota,Shewanellaceae,Pathogenic,Gram-negative
>2871820,Rhizobiaceae,Shinella oryzae,45,Salmonella Borreze,Pseudomonadota,Enterobacteriaceae,Pathogenic,Gram-negative
>56731,Rhizobiaceae,Rhizobium giardinii,45,Pararhizobium giardinii,Pseudomonadota,Rhizobiaceae,Non-pathogenic,Gram-negative
>935557,Rhizobiaceae,Sinorhizobium arboris,45,Ensifer arboris,Pseudomonadota,Rhizobiaceae,Non-pathogenic,Gram-negative
>1480615,Phyllobacteriaceae,Hoeflea olei,45,Hoeflea olei,Pseudomonadota,Rhizobiaceae,Non-pathogenic,Gram-negative
>544480,Rhizobiaceae,Shinella fusca,45,Shinella fusca,Pseudomonadota,Rhizobiaceae,Non-pathogenic,Gram-negative
>352475,Rhizobiaceae,Shinella zoogloeoides,45,Shinella zoogloeoides,Pseudomonadota,Rhizobiaceae,Non-pathogenic,Gram-negative
>1922333,Phyllobacteriaceae,Hoeflea prorocentri,45,Veillonella rodentium,Bacillota,Veillonellaceae,Potentially pathogenic,Gram-negative
>83263,Phyllobacteriaceae,Aminobacter aminovorans,45,Aminobacter aminovorans,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>1798805,Rhizobiaceae,Pararhizobium antarcticum,45,Pararhizobium antarcticum,Pseudomonadota,Rhizobiaceae,Non-pathogenic,Gram-negative
>1607949,Phyllobacteriaceae,Corticibacterium populi,45,Corticibacterium populi,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>2682096,Phyllobacteriaceae,Nitratireductor arenosus,45,Lactiplantibacillus argentoratensis,Bacillota,Lactobacillaceae,Pathogenic,Gram-positive
>2846852,Rhizobiaceae,Rhizobium halophilum,45,Mycobacterium haemophilum,Actinomycetota,Mycobacteriaceae,Pathogenic,Gram-positive
>1395951,Rhizobiaceae,Rhizobium gei,45,Rhizobium gei,Pseudomonadota,Rhizobiaceae,Potentially pathogenic,Gram-negative
>430679,Phyllobacteriaceae,Nitratireductor kimnyeongensis,45,Nitratireductor kimnyeongensis,Pseudomonadota,Phyllobacteriaceae,Non-pathogenic,Gram-negative
>1972867,Rhizobiaceae,Agrobacterium rosae,45,Agrobacterium rosae,Pseudomonadota,Rhizobiaceae,Potentially pathogenic,Gram-negative
>76980,Ahrensiaceae,Ahrensia kielensis,45,Ahrensia kielensis,Pseudomonadota,Ahrensiaceae,Non-pathogenic,Gram-negative
>2678685,Phyllobacteriaceae,Mesorhizobium xinjiangense,45,(unknown name),(unknown phylum),(unknown family),Unknown,NA
>244596,Phyllobacteriaceae,Hoeflea phototrophica,45,Hoeflea phototrophica,Pseudomonadota,Rhizobiaceae,Non-pathogenic,Gram-negative
>1035271,Rhizobiaceae,Rhizobium nepotum,45,Agrobacterium nepotum,Pseudomonadota,Rhizobiaceae,Potentially pathogenic,Gram-negative
>2735528,Rhizobiaceae,Agrobacterium vaccinii,45,Agrobacterium vaccinii,Pseudomonadota,Rhizobiaceae,Potentially pathogenic,Gram-negative
>2590452,Rhizobiaceae,Pararhizobium mangrovi,45,Paraclostridium bifermentans muricolitidis,Bacillota,Clostridiaceae,Pathogenic,Gram-positive
>735519,Rhizobiaceae,Rhizobium halophytocola,45,Rhizobium halophytocola,Pseudomonadota,Rhizobiaceae,Potentially pathogenic,Gram-negative
>984260,Rhizobiaceae,Rhizobium skierniewicense,45,Agrobacterium skierniewicense,Pseudomonadota,Rhizobiaceae,Potentially pathogenic,Gram-negative
>1672749,Rhizobiaceae,Xaviernesmea rhizosphaerae,45,Xaviernesmea rhizosphaerae,Pseudomonadota,Rhizobiaceae,Non-pathogenic,Gram-negative
>358,Rhizobiaceae,Agrobacterium tumefaciens,45,Agrobacterium radiobacter,Pseudomonadota,Rhizobiaceae,Pathogenic,Gram-negative
